Time,cplasma,dose_uM,treatment,Variable,exposure_route
0.05,0.92,0.5,NFT,cplasma,IV
0.1,0.71,0.5,NFT,cplasma,IV
0.15,0.62,0.5,NFT,cplasma,IV
0.2,0.52,0.5,NFT,cplasma,IV
0.25,0.38,0.5,NFT,cplasma,IV
0.3,0.35,0.5,NFT,cplasma,IV
0.35,0.28,0.5,NFT,cplasma,IV
0.4,0.22,0.5,NFT,cplasma,IV
0.43,0.16,0.5,NFT,cplasma,IV
0.5,0.14,0.5,NFT,cplasma,IV
0.55,0.11,0.5,NFT,cplasma,IV
0.08,2.27,1.25,NFT,cplasma,IV
0.16,1.47,1.25,NFT,cplasma,IV
0.25,1.21,1.25,NFT,cplasma,IV
0.33,1,1.25,NFT,cplasma,IV
0.42,0.77,1.25,NFT,cplasma,IV
0.5,0.55,1.25,NFT,cplasma,IV
0.58,0.42,1.25,NFT,cplasma,IV
0.66,0.3,1.25,NFT,cplasma,IV
0.75,0.24,1.25,NFT,cplasma,IV
0.83,0.19,1.25,NFT,cplasma,IV
0.91,0.15,1.25,NFT,cplasma,IV
0.1,4.45,2.5,NFT,cplasma,IV
0.2,3.39,2.5,NFT,cplasma,IV
0.26,2.69,2.5,NFT,cplasma,IV
0.5,2.23,2.5,NFT,cplasma,IV
0.75,1.4,2.5,NFT,cplasma,IV
1,0.61,2.5,NFT,cplasma,IV
1.25,0.26,2.5,NFT,cplasma,IV
1.5,0.13,2.5,NFT,cplasma,IV
0.1,11.91,5,NFT,cplasma,IV
0.2,8.99,5,NFT,cplasma,IV
0.26,6.92,5,NFT,cplasma,IV
0.5,3.46,5,NFT,cplasma,IV
0.75,1.77,5,NFT,cplasma,IV
1,0.87,5,NFT,cplasma,IV
1.25,0.44,5,NFT,cplasma,IV
1.5,0.22,5,NFT,cplasma,IV
0.1,23.34,10,NFT,cplasma,IV
0.2,19.09,10,NFT,cplasma,IV
0.26,15.46,10,NFT,cplasma,IV
0.5,10.14,10,NFT,cplasma,IV
0.75,6.08,10,NFT,cplasma,IV
1,3.53,10,NFT,cplasma,IV
1.25,2.23,10,NFT,cplasma,IV
1.5,1.39,10,NFT,cplasma,IV
1.75,0.59,10,NFT,cplasma,IV
2,0.31,10,NFT,cplasma,IV
2.25,0.15,10,NFT,cplasma,IV
0.1,37.79,15,NFT,cplasma,IV
0.2,31.23,15,NFT,cplasma,IV
0.26,27.41,15,NFT,cplasma,IV
0.5,18.9,15,NFT,cplasma,IV
0.75,12.4,15,NFT,cplasma,IV
1,8.05,15,NFT,cplasma,IV
1.25,5.66,15,NFT,cplasma,IV
1.5,3.91,15,NFT,cplasma,IV
1.75,2.59,15,NFT,cplasma,IV
2,1.57,15,NFT,cplasma,IV
2.25,1.04,15,NFT,cplasma,IV
2.5,0.68,15,NFT,cplasma,IV
