iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
0	1.84503	18.6199	1.93485	8.71708	0.557505	0.65856	9.5439	3.74821	9.2485	0.238595	0.682699	9.89095	1.92149	1.55187	0.505187	-1.476204e+01	-4.895065e+03	-4.909827e+03
290001	1.60621	2.27915	3.1989	3.55091	1.09569	0.502758	0.0135414	0.0132986	0.0819316	2.10067	0.0192688	6.3112	4.31832	2.0291	0.469323	-2.694352e+01	-3.898731e+03	-3.925675e+03
290002	1.61025	0.635032	2.18586	3.55091	1.09808	0.488634	0.0135414	0.0132986	0.0819316	1.89953	0.0348181	3.95629	3.31214	7.03323	0.469323	-2.434758e+01	-3.902063e+03	-3.926410e+03
290003	1.63156	0.339504	3.96804	5.75152	1.09808	0.505179	0.0135414	0.0132986	0.216067	1.82101	0.01991	3.97026	3.88718	6.10304	0.110191	-2.662145e+01	-3.903113e+03	-3.929734e+03
290004	1.70934	0.339504	3.62904	2.19099	1.23503	0.491596	0.0135414	0.0132986	0.299658	1.82101	0.0249964	1.90663	5.06516	4.38871	0.104142	-2.389253e+01	-3.906848e+03	-3.930740e+03
290005	1.22156	0.339504	2.45435	2.19099	1.23503	0.491596	0.00326224	0.0132986	0.349367	1.82101	0.0255905	1.55483	6.74003	4.38871	0.246128	-2.382562e+01	-3.908948e+03	-3.932773e+03
290006	0.955435	1.97201	1.48363	1.60857	0.813377	0.482263	0.00326224	0.0132986	0.349367	1.82101	0.0135312	1.55483	6.1377	2.98172	0.296818	-2.423186e+01	-3.905200e+03	-3.929431e+03
290007	0.876945	1.97201	1.22725	1.54981	0.823459	0.482263	0.00326224	0.0132986	0.307479	1.82101	0.0135312	4.02721	5.45423	1.81029	0.296818	-2.439571e+01	-3.903701e+03	-3.928097e+03
290008	0.948443	1.97201	0.669408	1.02674	0.355068	0.483615	0.003844	0.0163788	0.071238	1.82101	0.00665635	4.02721	4.36167	1.81029	0.443752	-2.488306e+01	-3.906266e+03	-3.931149e+03
290009	1.22003	1.97201	0.725573	2.78029	0.702449	0.464913	0.003844	0.0163788	0.419359	1.82101	0.00665635	4.35079	5.03719	0.270781	0.443752	-2.489649e+01	-3.902784e+03	-3.927681e+03
