iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
0	0.845609	0.0832768	0.0562379	0.063202	2.6466	6.188473e+00	-1.980632e+02	-1.918748e+02
90001	0.672206	0.0896925	0.065167	0.0186544	2.41638	8.481919e+00	-1.741259e+02	-1.656439e+02
90002	0.672206	0.0896925	0.0567367	0.0186544	0.698118	8.644431e+00	-1.739582e+02	-1.653138e+02
90003	0.672206	0.0896925	0.066814	0.00225567	2.18137	8.264344e+00	-1.735007e+02	-1.652364e+02
90004	0.672206	0.0950509	0.066814	0.00225567	1.76954	8.127150e+00	-1.745803e+02	-1.664531e+02
90005	0.672206	0.0908192	0.0511098	0.00225567	1.18864	9.356149e+00	-1.736902e+02	-1.643341e+02
90006	0.672206	0.0775127	0.0511098	0.00225567	1.18864	8.579840e+00	-1.724773e+02	-1.638975e+02
90007	0.681233	0.0697115	0.055192	0.00225567	1.42322	7.266326e+00	-1.736308e+02	-1.663645e+02
90008	0.679259	0.0697115	0.0519721	0.00225567	1.83582	7.550369e+00	-1.735090e+02	-1.659587e+02
90009	0.679259	0.0860408	0.0519721	0.00225567	1.27838	9.283210e+00	-1.725280e+02	-1.632448e+02
90010	0.679259	0.0860408	0.0519721	0.00225567	2.25643	9.510702e+00	-1.725398e+02	-1.630291e+02
90011	0.679259	0.0860408	0.0519721	0.00225567	2.25643	9.510702e+00	-1.725398e+02	-1.630291e+02
90012	0.692423	0.0860408	0.0519721	0.00225567	2.85766	9.062783e+00	-1.720899e+02	-1.630271e+02
90013	0.692423	0.0860408	0.0519721	0.00225567	2.85766	9.062783e+00	-1.720899e+02	-1.630271e+02
90014	0.692423	0.0860408	0.0511181	0.00225567	1.42503	9.278474e+00	-1.720754e+02	-1.627970e+02
90015	0.688387	0.0860408	0.0511181	0.00225567	1.42503	9.314966e+00	-1.721641e+02	-1.628492e+02
90016	0.688387	0.0830297	0.0494179	0.0115672	1.27239	9.074605e+00	-1.723281e+02	-1.632535e+02
90017	0.688387	0.0830297	0.0266831	0.0115672	1.47234	6.483405e+00	-1.723493e+02	-1.658659e+02
90018	0.688387	0.0830297	0.0266831	0.0115672	1.47234	6.483405e+00	-1.723493e+02	-1.658659e+02
90019	0.688387	0.0830297	0.0266831	0.0115672	1.47234	6.483405e+00	-1.723493e+02	-1.658659e+02
90020	0.688387	0.0830297	0.0266831	0.0115672	3.49028	5.512156e+00	-1.724417e+02	-1.669296e+02
90021	0.688387	0.0830297	0.0266831	0.0115672	2.65772	6.406319e+00	-1.724118e+02	-1.660055e+02
90022	0.688387	0.0830297	0.0253444	0.0115672	2.65772	6.085207e+00	-1.724120e+02	-1.663268e+02
90023	0.688387	0.0875147	0.0453518	0.0115672	3.1914	8.735299e+00	-1.725075e+02	-1.637722e+02
90024	0.688387	0.0819118	0.0453518	0.0465469	3.1914	8.389586e+00	-1.733525e+02	-1.649629e+02
90025	0.688387	0.0819118	0.0435735	0.0465469	1.62828	8.931747e+00	-1.730735e+02	-1.641417e+02
90026	0.678819	0.0819118	0.0435735	0.0417028	1.52631	8.986887e+00	-1.732594e+02	-1.642725e+02
90027	0.678819	0.0855328	0.0435735	0.0417028	1.67922	9.274941e+00	-1.736335e+02	-1.643585e+02
90028	0.678819	0.0855328	0.0611137	0.0417028	1.67922	8.863870e+00	-1.736256e+02	-1.647617e+02
90029	0.678819	0.0855328	0.0611137	0.0417028	1.97188	8.914925e+00	-1.736809e+02	-1.647660e+02
90030	0.678819	0.0866638	0.0429644	0.0417028	1.26714	9.060985e+00	-1.736889e+02	-1.646280e+02
90031	0.723781	0.0866638	0.0429644	0.0267165	1.26714	8.638793e+00	-1.728343e+02	-1.641956e+02
90032	0.723781	0.0891874	0.0429644	0.0267165	1.26714	8.691143e+00	-1.724636e+02	-1.637724e+02
90033	0.723781	0.0891874	0.0429644	0.0267165	0.575211	7.944670e+00	-1.723079e+02	-1.643632e+02
90034	0.723781	0.101802	0.0429644	0.0351233	1.90957	8.248164e+00	-1.724314e+02	-1.641832e+02
90035	0.765028	0.0985792	0.0429644	0.0351233	1.77657	7.960047e+00	-1.731710e+02	-1.652110e+02
90036	0.765028	0.0985792	0.0429644	0.0351233	1.77657	7.960047e+00	-1.731710e+02	-1.652110e+02
90037	0.765028	0.0992727	0.0429644	0.0351233	1.77657	7.898141e+00	-1.730243e+02	-1.651262e+02
90038	0.765028	0.109448	0.0429644	0.0351233	2.38134	6.389122e+00	-1.718228e+02	-1.654337e+02
90039	0.765028	0.109448	0.0538309	0.0351233	1.99966	6.635949e+00	-1.717491e+02	-1.651131e+02
90040	0.765028	0.109448	0.0501695	0.0351233	1.2524	6.429730e+00	-1.715840e+02	-1.651543e+02
90041	0.76487	0.107271	0.0501695	0.0351233	1.21671	6.804779e+00	-1.717315e+02	-1.649267e+02
90042	0.76487	0.113077	0.0501695	0.0351233	1.50795	5.819303e+00	-1.715105e+02	-1.656912e+02
90043	0.737147	0.113077	0.0501695	0.0351233	1.7774	6.334221e+00	-1.726873e+02	-1.663531e+02
90044	0.737147	0.113077	0.0442236	0.0384323	1.11431	5.791406e+00	-1.726468e+02	-1.668554e+02
90045	0.737147	0.113077	0.0442236	0.0384323	2.77466	5.883582e+00	-1.729714e+02	-1.670878e+02
90046	0.737147	0.124237	0.0574166	0.0384323	1.69289	2.830202e+00	-1.747853e+02	-1.719551e+02
90047	0.737147	0.123012	0.0574166	0.0384323	2.15708	3.276709e+00	-1.745972e+02	-1.713205e+02
90048	0.808349	0.115888	0.0574166	0.0304665	2.15708	4.162856e+00	-1.726201e+02	-1.684573e+02
90049	0.762091	0.115888	0.0574166	0.0304665	2.15708	5.019652e+00	-1.715736e+02	-1.665540e+02
90050	0.762091	0.115888	0.0574166	0.0304665	0.349578	3.670042e+00	-1.711552e+02	-1.674851e+02
90051	0.794238	0.115888	0.0574166	0.111131	1.61766	3.745885e+00	-1.730428e+02	-1.692969e+02
90052	0.794238	0.103477	0.040878	0.111131	2.74402	5.843882e+00	-1.752513e+02	-1.694074e+02
90053	0.794238	0.103477	0.040878	0.0173618	2.74402	6.492161e+00	-1.746268e+02	-1.681346e+02
90054	0.794238	0.103477	0.040878	0.0227307	2.74402	6.492122e+00	-1.746361e+02	-1.681440e+02
90055	0.794238	0.103477	0.0365516	0.0227307	1.48596	6.148548e+00	-1.744646e+02	-1.683161e+02
90056	0.808213	0.103477	0.0529394	0.0227307	0.873692	6.226269e+00	-1.761089e+02	-1.698827e+02
90057	0.808213	0.11163	0.0345758	0.0701509	1.56486	3.992505e+00	-1.736008e+02	-1.696083e+02
90058	0.808213	0.107532	0.0588247	0.0701509	1.56486	5.595001e+00	-1.745861e+02	-1.689911e+02
90059	0.813826	0.11701	0.0588247	0.0071234	1.56486	3.549208e+00	-1.726176e+02	-1.690684e+02
90060	0.774347	0.11701	0.0588247	0.0071234	1.56486	4.315444e+00	-1.707924e+02	-1.664770e+02
90061	0.774347	0.11701	0.0588247	0.0071234	2.1677	4.396055e+00	-1.708177e+02	-1.664216e+02
90062	0.785395	0.0990342	0.0476151	0.0708025	2.1677	7.609313e+00	-1.750311e+02	-1.674218e+02
90063	0.785395	0.0990342	0.0476151	0.0708025	1.69263	7.576138e+00	-1.748270e+02	-1.672509e+02
90064	0.785395	0.0990342	0.0476151	0.0708025	3.41951	6.615870e+00	-1.754231e+02	-1.688072e+02
90065	0.782881	0.094742	0.0356686	0.0257118	2.32356	7.113547e+00	-1.762938e+02	-1.691803e+02
90066	0.748944	0.094742	0.0356686	0.00768513	2.32356	7.667303e+00	-1.727406e+02	-1.650733e+02
90067	0.748944	0.094742	0.0462821	0.00768513	2.32356	8.625135e+00	-1.727391e+02	-1.641140e+02
90068	0.74546	0.094742	0.0462821	0.00768513	2.32356	8.676419e+00	-1.725169e+02	-1.638405e+02
90069	0.74546	0.094742	0.0462821	0.00768513	2.32356	8.676419e+00	-1.725169e+02	-1.638405e+02
90070	0.74546	0.094742	0.0462821	0.00900089	2.32356	8.678815e+00	-1.725310e+02	-1.638521e+02
90071	0.74546	0.094742	0.0462821	0.0597603	1.96825	8.616602e+00	-1.730873e+02	-1.644707e+02
90072	0.782401	0.0977286	0.0566624	0.0597603	0.86203	7.024997e+00	-1.745034e+02	-1.674784e+02
90073	0.782401	0.0977286	0.0475479	0.0597603	0.379533	6.551400e+00	-1.741998e+02	-1.676484e+02
90074	0.782401	0.102096	0.0475479	0.0597603	1.46479	7.288240e+00	-1.736747e+02	-1.663864e+02
90075	0.782401	0.104058	0.0625932	0.0597603	1.15594	6.055744e+00	-1.731096e+02	-1.670539e+02
90076	0.782401	0.0976586	0.0566454	0.0597603	1.15594	7.322781e+00	-1.746848e+02	-1.673620e+02
90077	0.782401	0.0976586	0.0593936	0.0468118	1.15594	7.169731e+00	-1.747625e+02	-1.675928e+02
90078	0.68443	0.0817914	0.0593936	0.0250207	1.15594	8.487376e+00	-1.726290e+02	-1.641416e+02
90079	0.68443	0.071539	0.0534264	0.0916787	0.63764	6.531520e+00	-1.736493e+02	-1.671178e+02
90080	0.68443	0.061125	0.0534264	0.0916787	0.63764	4.066730e+00	-1.756686e+02	-1.716018e+02
90081	0.68443	0.078713	0.0534264	0.0916787	2.29898	8.481905e+00	-1.743708e+02	-1.658889e+02
90082	0.68443	0.0939866	0.045174	0.0916787	2.29898	8.981666e+00	-1.767187e+02	-1.677371e+02
90083	0.68443	0.0939866	0.045174	0.0916787	2.29898	8.981666e+00	-1.767187e+02	-1.677371e+02
90084	0.705771	0.0939866	0.0562273	0.0916787	2.29898	8.701273e+00	-1.746415e+02	-1.659402e+02
90085	0.705771	0.0912441	0.0562273	0.0801515	2.49546	8.813674e+00	-1.740241e+02	-1.652105e+02
90086	0.727729	0.0912441	0.0562273	0.0801515	1.05593	8.234425e+00	-1.729257e+02	-1.646913e+02
90087	0.719125	0.0912441	0.0562273	0.0849208	1.05593	8.294022e+00	-1.730852e+02	-1.647912e+02
90088	0.712178	0.0912441	0.055638	0.0849208	2.59575	8.677491e+00	-1.739297e+02	-1.652522e+02
90089	0.712178	0.0943496	0.0661725	0.0849208	2.59575	7.441821e+00	-1.741398e+02	-1.666980e+02
90090	0.711455	0.0943496	0.0661725	0.0849208	0.0219853	5.671099e+00	-1.727595e+02	-1.670884e+02
90091	0.711455	0.0943496	0.0427719	0.0849208	1.76012	8.645122e+00	-1.739139e+02	-1.652688e+02
90092	0.711455	0.0943496	0.0427719	0.0619748	1.76012	8.836749e+00	-1.732351e+02	-1.643984e+02
90093	0.705191	0.0943496	0.0427719	0.025317	1.76012	9.040032e+00	-1.724873e+02	-1.634472e+02
90094	0.764686	0.0943496	0.0427719	0.0364001	0.624455	7.301129e+00	-1.738372e+02	-1.665361e+02
90095	0.764686	0.0822482	0.0427719	0.137717	0.512093	5.872823e+00	-1.764731e+02	-1.706002e+02
90096	0.764686	0.0894567	0.0427719	0.137717	0.26618	5.775663e+00	-1.740592e+02	-1.682835e+02
90097	0.764686	0.10449	0.052412	0.137717	0.26618	4.959535e+00	-1.725015e+02	-1.675419e+02
90098	0.77936	0.10449	0.052412	0.137717	0.26618	4.707108e+00	-1.725155e+02	-1.678084e+02
90099	0.77936	0.10307	0.052412	0.115133	2.43231	6.687901e+00	-1.743607e+02	-1.676728e+02
90100	0.759336	0.104256	0.0389869	0.115133	2.43231	6.287578e+00	-1.739951e+02	-1.677076e+02
90101	0.759336	0.104256	0.0587013	0.100654	2.93563	6.370039e+00	-1.737753e+02	-1.674053e+02
90102	0.711804	0.104256	0.0495252	0.0459631	2.56219	8.127082e+00	-1.740267e+02	-1.658997e+02
90103	0.711804	0.0813088	0.0495252	0.0740238	2.56219	8.590231e+00	-1.739955e+02	-1.654053e+02
90104	0.717696	0.0982473	0.0606856	0.0739607	2.56219	7.990966e+00	-1.738324e+02	-1.658414e+02
90105	0.717696	0.0982473	0.0658353	0.0739607	2.439	7.369770e+00	-1.737937e+02	-1.664239e+02
90106	0.748755	0.0994053	0.0597687	0.0739607	2.0135	7.726683e+00	-1.729772e+02	-1.652505e+02
90107	0.748755	0.0994053	0.0597687	0.0753964	2.054	7.713050e+00	-1.730218e+02	-1.653088e+02
90108	0.73079	0.0994053	0.0502802	0.00774169	1.76782	8.643413e+00	-1.715344e+02	-1.628910e+02
90109	0.73079	0.0991505	0.0502802	0.00774169	1.76782	8.667051e+00	-1.715436e+02	-1.628766e+02
90110	0.702612	0.0916633	0.0502802	0.00774169	2.51891	9.293039e+00	-1.720431e+02	-1.627501e+02
90111	0.702612	0.0881653	0.0401775	0.00774169	2.51891	8.808023e+00	-1.720644e+02	-1.632564e+02
90112	0.702612	0.0797422	0.0401775	0.00774169	2.51891	8.298738e+00	-1.729159e+02	-1.646171e+02
90113	0.702612	0.0831868	0.0401775	0.00774169	2.61304	8.539481e+00	-1.724239e+02	-1.638844e+02
90114	0.708241	0.0945751	0.0401775	0.00774169	2.61304	8.607564e+00	-1.719525e+02	-1.633449e+02
90115	0.708241	0.0945751	0.0401775	0.00774169	0.260665	7.282832e+00	-1.718303e+02	-1.645475e+02
90116	0.718253	0.0945751	0.0401775	0.00774169	0.317761	7.267129e+00	-1.716548e+02	-1.643877e+02
90117	0.718253	0.0915376	0.0401775	0.00774169	3.02369	8.250958e+00	-1.719561e+02	-1.637051e+02
90118	0.71943	0.0915376	0.0401775	0.00774169	3.02369	8.236971e+00	-1.719747e+02	-1.637378e+02
90119	0.71943	0.0915376	0.0401775	0.0478254	2.74226	8.436717e+00	-1.728550e+02	-1.644183e+02
90120	0.71943	0.0915376	0.0401775	0.0478254	2.74226	8.436717e+00	-1.728550e+02	-1.644183e+02
90121	0.651009	0.0915376	0.0401775	0.0478254	0.13109	7.548865e+00	-1.783556e+02	-1.708067e+02
90122	0.651009	0.0637011	0.0401775	0.0478254	1.86593	5.839959e+00	-1.738952e+02	-1.680553e+02
90123	0.651009	0.0714585	0.0401775	0.0478254	0.392867	6.296725e+00	-1.736275e+02	-1.673308e+02
90124	0.673377	0.0714585	0.0541657	0.0759768	2.09763	7.655622e+00	-1.740900e+02	-1.664344e+02
90125	0.662487	0.0740185	0.0541657	0.0759768	2.90892	7.763190e+00	-1.746882e+02	-1.669250e+02
90126	0.662487	0.0740185	0.0541657	0.0759768	2.19104	8.158011e+00	-1.745186e+02	-1.663606e+02
90127	0.671733	0.074303	0.0541657	0.142941	2.1902	7.205168e+00	-1.759916e+02	-1.687865e+02
90128	0.687624	0.0723272	0.0541657	0.142941	2.1902	6.748899e+00	-1.753919e+02	-1.686430e+02
90129	0.687624	0.0723272	0.0543343	0.0463533	1.90417	7.881782e+00	-1.737934e+02	-1.659117e+02
90130	0.687624	0.0723609	0.0543343	0.0463533	1.95443	7.891288e+00	-1.737977e+02	-1.659064e+02
