"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
0	0	0	0	"Simu1"	50	"NFT"	0	"cplasma"
0.1480275	0.102118275	0.206850425	0.1494370832	"Simu1"	50	"NFT"	0.1	"cplasma"
0.206273	0.13775395	0.299130325	0.208990779	"Simu1"	50	"NFT"	0.2	"cplasma"
0.235898	0.15738875	0.342156075	0.2390202415	"Simu1"	50	"NFT"	0.3	"cplasma"
0.259073	0.172561175	0.371486275	0.261611043	"Simu1"	50	"NFT"	0.4	"cplasma"
0.277845	0.185301075	0.39429105	0.28030502	"Simu1"	50	"NFT"	0.5	"cplasma"
0.292779	0.196622925	0.415835825	0.2959416175	"Simu1"	50	"NFT"	0.6	"cplasma"
0.3054755	0.20515495	0.43459965	0.30889542	"Simu1"	50	"NFT"	0.7	"cplasma"
0.3162465	0.21269155	0.4507285	0.319436834	"Simu1"	50	"NFT"	0.8	"cplasma"
0.3248005	0.2173724	0.46103895	0.3277986465	"Simu1"	50	"NFT"	0.9	"cplasma"
0.3309235	0.2214114	0.467113425	0.3341908295	"Simu1"	50	"NFT"	1	"cplasma"
0.33569	0.224770125	0.47398985	0.3388050735	"Simu1"	50	"NFT"	1.1	"cplasma"
0.3390595	0.22692585	0.47930695	0.341817164	"Simu1"	50	"NFT"	1.2	"cplasma"
0.34055	0.2260086	0.4830395	0.3433884985	"Simu1"	50	"NFT"	1.3	"cplasma"
0.340681	0.22485795	0.4857084	0.3436673365	"Simu1"	50	"NFT"	1.4	"cplasma"
0.3394835	0.22212005	0.484481	0.342789919	"Simu1"	50	"NFT"	1.5	"cplasma"
0.337705	0.220366575	0.48406975	0.340881418	"Simu1"	50	"NFT"	1.6	"cplasma"
0.334916	0.217463025	0.481963025	0.338056795	"Simu1"	50	"NFT"	1.7	"cplasma"
0.3313395	0.213514475	0.479349675	0.3344216725	"Simu1"	50	"NFT"	1.8	"cplasma"
0.3275545	0.209250325	0.47523545	0.330073002	"Simu1"	50	"NFT"	1.9	"cplasma"
0.322574	0.204615175	0.4691102	0.3250997705	"Simu1"	50	"NFT"	2	"cplasma"
0.316464	0.199055325	0.463385525	0.3195834705	"Simu1"	50	"NFT"	2.1	"cplasma"
0.3102105	0.193790975	0.45411615	0.3135988965	"Simu1"	50	"NFT"	2.2	"cplasma"
0.30405	0.1898023	0.448235825	0.307214427	"Simu1"	50	"NFT"	2.3	"cplasma"
0.297166	0.1835441	0.44184495	0.300492618	"Simu1"	50	"NFT"	2.4	"cplasma"
0.289931	0.17700355	0.4359989	0.293490593	"Simu1"	50	"NFT"	2.5	"cplasma"
0.283237	0.171454275	0.4275553	0.286260444	"Simu1"	50	"NFT"	2.6	"cplasma"
0.2749875	0.1649161	0.420004625	0.2788496155	"Simu1"	50	"NFT"	2.7	"cplasma"
0.2678385	0.15857645	0.41299755	0.2713013525	"Simu1"	50	"NFT"	2.8	"cplasma"
0.2603845	0.1529022	0.405188325	0.26365485335	"Simu1"	50	"NFT"	2.9	"cplasma"
0.2527985	0.1460855	0.39810665	0.2559455971	"Simu1"	50	"NFT"	3	"cplasma"
0.2452195	0.1399914	0.3880227	0.24820573245	"Simu1"	50	"NFT"	3.1	"cplasma"
0.2369675	0.133753575	0.379412575	0.24046420695	"Simu1"	50	"NFT"	3.2	"cplasma"
0.228627	0.127725625	0.369357725	0.23274707565	"Simu1"	50	"NFT"	3.3	"cplasma"
0.2206485	0.122062325	0.359258775	0.2250776558	"Simu1"	50	"NFT"	3.4	"cplasma"
