"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
5.81801	5.81801	5.81801	5.81801	"Simu1"	0.5	"NFT"	0	"cplasma"
3.01806	3.01806	3.01806	3.01806	"Simu1"	0.5	"NFT"	0.01	"cplasma"
1.9359	1.9359	1.9359	1.9359	"Simu1"	0.5	"NFT"	0.02	"cplasma"
1.43317	1.43317	1.43317	1.43317	"Simu1"	0.5	"NFT"	0.03	"cplasma"
1.17069	1.17069	1.1707	1.17069223333333	"Simu1"	0.5	"NFT"	0.04	"cplasma"
1.01661	1.01661	1.01661	1.0166103	"Simu1"	0.5	"NFT"	0.05	"cplasma"
0.914998	0.914971	0.915005	0.91499393	"Simu1"	0.5	"NFT"	0.06	"cplasma"
0.841316	0.841270475	0.841329525	0.841307473333333	"Simu1"	0.5	"NFT"	0.07	"cplasma"
0.784229	0.784192475	0.784245525	0.78422405	"Simu1"	0.5	"NFT"	0.08	"cplasma"
0.737973	0.737946	0.737987	0.73797181	"Simu1"	0.5	"NFT"	0.09	"cplasma"
0.699265	0.699246	0.699276	0.69926342	"Simu1"	0.5	"NFT"	0.1	"cplasma"
0.666033	0.666014475	0.666044	0.666031786666667	"Simu1"	0.5	"NFT"	0.11	"cplasma"
0.636886	0.636868475	0.636896525	0.636884826666667	"Simu1"	0.5	"NFT"	0.12	"cplasma"
0.610846	0.610831475	0.610857525	0.610845913333333	"Simu1"	0.5	"NFT"	0.13	"cplasma"
0.587214	0.587200475	0.587225	0.587213966666667	"Simu1"	0.5	"NFT"	0.14	"cplasma"
0.565479	0.565467	0.565489	0.565478656666667	"Simu1"	0.5	"NFT"	0.15	"cplasma"
0.545266	0.545256	0.545276	0.545266246666667	"Simu1"	0.5	"NFT"	0.16	"cplasma"
0.5263	0.526291	0.526308	0.52629983	"Simu1"	0.5	"NFT"	0.17	"cplasma"
0.508374	0.508366475	0.508381	0.508373966666667	"Simu1"	0.5	"NFT"	0.18	"cplasma"
0.491335	0.491327475	0.491341	0.491334803333333	"Simu1"	0.5	"NFT"	0.19	"cplasma"
0.475067	0.47506	0.475072	0.47506659	"Simu1"	0.5	"NFT"	0.2	"cplasma"
0.459482	0.459476	0.459487	0.459481426666667	"Simu1"	0.5	"NFT"	0.21	"cplasma"
0.4445115	0.444507	0.444517525	0.44451144	"Simu1"	0.5	"NFT"	0.22	"cplasma"
0.430103	0.430099	0.430111	0.430103576666667	"Simu1"	0.5	"NFT"	0.23	"cplasma"
0.416215	0.416210475	0.416224	0.416215646666667	"Simu1"	0.5	"NFT"	0.24	"cplasma"
0.402813	0.402808	0.402821	0.402813476666667	"Simu1"	0.5	"NFT"	0.25	"cplasma"
0.389868	0.389864	0.389877525	0.38986903	"Simu1"	0.5	"NFT"	0.26	"cplasma"
0.377357	0.377354	0.377367	0.377358263333333	"Simu1"	0.5	"NFT"	0.27	"cplasma"
0.36526	0.365256	0.365270525	0.36526124	"Simu1"	0.5	"NFT"	0.28	"cplasma"
