"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
5.81801	5.81801	5.81801	5.81801	"Simu1"	0.5	"NFT"	0	"cplasma"
0.604523	0.599706175	0.608899625	0.604516512	"Simu1"	0.5	"NFT"	0.1	"cplasma"
0.373565	0.368175325	0.37851755	0.373507756	"Simu1"	0.5	"NFT"	0.2	"cplasma"
0.2445445	0.239039375	0.249129675	0.244468484	"Simu1"	0.5	"NFT"	0.3	"cplasma"
0.1600085	0.15490125	0.164159375	0.159876458	"Simu1"	0.5	"NFT"	0.4	"cplasma"
0.1045075	0.10024075	0.1083402	0.1044537388	"Simu1"	0.5	"NFT"	0.5	"cplasma"
0.0683804	0.0646651	0.0720172925	0.0683534962	"Simu1"	0.5	"NFT"	0.6	"cplasma"
0.04490625	0.041780695	0.0486735625	0.0449330638	"Simu1"	0.5	"NFT"	0.7	"cplasma"
0.02962055	0.026994855	0.03382226	0.0297786108	"Simu1"	0.5	"NFT"	0.8	"cplasma"
0.01971675	0.0174188175	0.02443762	0.0199900528	"Simu1"	0.5	"NFT"	0.9	"cplasma"
0.013345	0.011326395	0.018137815	0.013675305	"Simu1"	0.5	"NFT"	1	"cplasma"
0.009196005	0.0073378785	0.01401733	0.00960519338	"Simu1"	0.5	"NFT"	1.1	"cplasma"
0.006505905	0.004777897	0.0113996725	0.00698329928	"Simu1"	0.5	"NFT"	1.2	"cplasma"
0.004788875	0.00311633975	0.00976284075	0.0052948611	"Simu1"	0.5	"NFT"	1.3	"cplasma"
0.00369574	0.00206244575	0.00880697074999999	0.00420737528	"Simu1"	0.5	"NFT"	1.4	"cplasma"
0.002985145	0.00136949525	0.00819337149999999	0.0035064596	"Simu1"	0.5	"NFT"	1.5	"cplasma"
0.002546685	0.000918837225	0.00770517474999999	0.003053923672	"Simu1"	0.5	"NFT"	1.6	"cplasma"
0.002252685	0.00061952895	0.00736702649999999	0.002760830086	"Simu1"	0.5	"NFT"	1.7	"cplasma"
0.002048085	0.0004288086	0.00712470674999999	0.002569913158	"Simu1"	0.5	"NFT"	1.8	"cplasma"
