"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
20.2703	20.2703	20.2703	20.2703	"Simu1"	1.5	"NFT"	0	"cplasma"
2.46079	2.46079	2.46079	2.46079	"Simu1"	1.5	"NFT"	0.1	"cplasma"
1.65673	1.65673	1.65673	1.65673	"Simu1"	1.5	"NFT"	0.2	"cplasma"
1.05886	1.05883	1.05886	1.05885016	"Simu1"	1.5	"NFT"	0.3	"cplasma"
0.66073	0.660694	0.660731	0.66071936	"Simu1"	1.5	"NFT"	0.4	"cplasma"
0.4087325	0.408684	0.408736	0.40872359	"Simu1"	1.5	"NFT"	0.5	"cplasma"
0.25177	0.251723	0.251781	0.25176523	"Simu1"	1.5	"NFT"	0.6	"cplasma"
0.154724	0.154692	0.15474	0.154724488	"Simu1"	1.5	"NFT"	0.7	"cplasma"
0.0949616	0.0949368	0.0949722	0.0949597576	"Simu1"	1.5	"NFT"	0.8	"cplasma"
0.0582341	0.0582132175	0.0582465	0.0582334094	"Simu1"	1.5	"NFT"	0.9	"cplasma"
0.03569465	0.0356797475	0.0357060525	0.0356941992	"Simu1"	1.5	"NFT"	1	"cplasma"
0.0218727	0.0218594475	0.0218819525	0.0218721936	"Simu1"	1.5	"NFT"	1.1	"cplasma"
0.0134012	0.0133897475	0.0134073	0.0134006014	"Simu1"	1.5	"NFT"	1.2	"cplasma"
0.00820979	0.00820231	0.00821681675	0.00820956294	"Simu1"	1.5	"NFT"	1.3	"cplasma"
0.005029385	0.005024828	0.0050345715	0.005029369	"Simu1"	1.5	"NFT"	1.4	"cplasma"
0.00308088	0.00307782025	0.003084309	0.0030809454	"Simu1"	1.5	"NFT"	1.5	"cplasma"
0.00188733	0.00188512425	0.00188986525	0.00188738518	"Simu1"	1.5	"NFT"	1.6	"cplasma"
0.001156085	0.00115482475	0.0011581105	0.00115617854	"Simu1"	1.5	"NFT"	1.7	"cplasma"
0.0007081815	0.000707228075	0.0007096642	0.000708260396	"Simu1"	1.5	"NFT"	1.8	"cplasma"
0.0004337825	0.00043326795	0.000434798725	0.000433862334	"Simu1"	1.5	"NFT"	1.9	"cplasma"
0.000265724	0.000265344	0.000266421125	0.000265777126	"Simu1"	1.5	"NFT"	2	"cplasma"
0.000162772	0.000162504275	0.00016332715	0.00016282145	"Simu1"	1.5	"NFT"	2.1	"cplasma"
9.970985e-05	9.9540205e-05	0.000100158	9.9747216e-05	"Simu1"	1.5	"NFT"	2.2	"cplasma"
6.108665e-05	6.095928e-05	6.1416275e-05	6.11115454e-05	"Simu1"	1.5	"NFT"	2.3	"cplasma"
3.741725e-05	3.732938e-05	3.76534575e-05	3.74417638e-05	"Simu1"	1.5	"NFT"	2.4	"cplasma"
2.29251e-05	2.2856355e-05	2.3076205e-05	2.29403004e-05	"Simu1"	1.5	"NFT"	2.5	"cplasma"
1.404665e-05	1.4000075e-05	1.41524275e-05	1.40561768e-05	"Simu1"	1.5	"NFT"	2.6	"cplasma"
8.60596e-06	8.57322675e-06	8.67970875e-06	8.61302366e-06	"Simu1"	1.5	"NFT"	2.7	"cplasma"
5.27325e-06	5.24532225e-06	5.31908575e-06	5.27710756e-06	"Simu1"	1.5	"NFT"	2.8	"cplasma"
3.23206e-06	3.2033275e-06	3.26214325e-06	3.23328528e-06	"Simu1"	1.5	"NFT"	2.9	"cplasma"
1.97987e-06	1.95827375e-06	2.00162e-06	1.98079726e-06	"Simu1"	1.5	"NFT"	3	"cplasma"
1.21312e-06	1.19270025e-06	1.22697575e-06	1.21339304e-06	"Simu1"	1.5	"NFT"	3.1	"cplasma"
7.43776e-07	7.2688e-07	7.519242e-07	7.43335934e-07	"Simu1"	1.5	"NFT"	3.2	"cplasma"
4.55603e-07	4.40952e-07	4.6115955e-07	4.55286986e-07	"Simu1"	1.5	"NFT"	3.3	"cplasma"
2.791395e-07	2.682704e-07	2.8264035e-07	2.78551092e-07	"Simu1"	1.5	"NFT"	3.4	"cplasma"
1.710225e-07	1.6318985e-07	1.73253e-07	1.70480592e-07	"Simu1"	1.5	"NFT"	3.5	"cplasma"
1.04753e-07	9.93304375e-08	1.0615645e-07	1.043112046e-07	"Simu1"	1.5	"NFT"	3.6	"cplasma"
6.415305e-08	6.05612375e-08	6.50917675e-08	6.38039622e-08	"Simu1"	1.5	"NFT"	3.7	"cplasma"
3.9287e-08	3.67114525e-08	3.9895345e-08	3.9003342e-08	"Simu1"	1.5	"NFT"	3.8	"cplasma"
2.40425e-08	2.229047e-08	2.4457795e-08	2.38371884e-08	"Simu1"	1.5	"NFT"	3.9	"cplasma"
1.47209e-08	1.3544125e-08	1.49948725e-08	1.45643384e-08	"Simu1"	1.5	"NFT"	4	"cplasma"
9.00467e-09	8.1895855e-09	9.18953925e-09	8.8938839e-09	"Simu1"	1.5	"NFT"	4.1	"cplasma"
5.5079e-09	4.9843665e-09	5.6347795e-09	5.42795372e-09	"Simu1"	1.5	"NFT"	4.2	"cplasma"
3.36562e-09	3.02370075e-09	3.45562825e-09	3.31387442e-09	"Simu1"	1.5	"NFT"	4.3	"cplasma"
2.05725e-09	1.83518125e-09	2.11895425e-09	2.02545724e-09	"Simu1"	1.5	"NFT"	4.4	"cplasma"
1.256305e-09	1.1175215e-09	1.33802075e-09	1.24098786e-09	"Simu1"	1.5	"NFT"	4.5	"cplasma"
7.772395e-10	6.83891525e-10	8.69296125e-10	7.66644272e-10	"Simu1"	1.5	"NFT"	4.6	"cplasma"
4.800175e-10	4.21469525e-10	5.69470425e-10	4.79446206e-10	"Simu1"	1.5	"NFT"	4.7	"cplasma"
2.97607e-10	2.60717475e-10	3.70647225e-10	3.04139784e-10	"Simu1"	1.5	"NFT"	4.8	"cplasma"
1.9206e-10	1.635967e-10	2.41003e-10	1.94542474e-10	"Simu1"	1.5	"NFT"	4.9	"cplasma"
1.245735e-10	1.0362275e-10	1.56579275e-10	1.249399418e-10	"Simu1"	1.5	"NFT"	5	"cplasma"
8.07874e-11	6.653479e-11	1.018837e-10	8.0592844e-11	"Simu1"	1.5	"NFT"	5.1	"cplasma"
5.23332e-11	4.1462135e-11	6.64532325e-11	5.21509058e-11	"Simu1"	1.5	"NFT"	5.2	"cplasma"
3.386775e-11	2.56661125e-11	4.31942675e-11	3.38079406e-11	"Simu1"	1.5	"NFT"	5.3	"cplasma"
2.190145e-11	1.6362045e-11	2.82562525e-11	2.19380282e-11	"Simu1"	1.5	"NFT"	5.4	"cplasma"
1.42148e-11	1.0620125e-11	1.85294e-11	1.424060294e-11	"Simu1"	1.5	"NFT"	5.5	"cplasma"
9.19774e-12	6.86945e-12	1.2152725e-11	9.2455009e-12	"Simu1"	1.5	"NFT"	5.6	"cplasma"
5.96682e-12	4.45276e-12	7.98115e-12	6.00374464e-12	"Simu1"	1.5	"NFT"	5.7	"cplasma"
3.8835e-12	2.88627e-12	5.2224025e-12	3.89943144e-12	"Simu1"	1.5	"NFT"	5.8	"cplasma"
2.51302e-12	1.87087e-12	3.41401825e-12	2.53321042e-12	"Simu1"	1.5	"NFT"	5.9	"cplasma"
