"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
20.2703	20.2703	20.2703	20.2703	"Simu1"	1.5	"NFT"	0	"cplasma"
2.343225	2.32110075	2.36051525	2.34239858	"Simu1"	1.5	"NFT"	0.1	"cplasma"
1.475785	1.447867	1.50154	1.4754766	"Simu1"	1.5	"NFT"	0.2	"cplasma"
0.858817	0.833507775	0.884741775	0.859005168	"Simu1"	1.5	"NFT"	0.3	"cplasma"
0.468668	0.442780175	0.4880903	0.467934036	"Simu1"	1.5	"NFT"	0.4	"cplasma"
0.235662	0.208550225	0.252809775	0.234108832	"Simu1"	1.5	"NFT"	0.5	"cplasma"
0.108442	0.087529465	0.129647875	0.1082301822	"Simu1"	1.5	"NFT"	0.6	"cplasma"
0.04830255	0.0361906825	0.0662959875	0.0492118556	"Simu1"	1.5	"NFT"	0.7	"cplasma"
0.02153885	0.01511172	0.03353624	0.0223713402	"Simu1"	1.5	"NFT"	0.8	"cplasma"
0.009607815	0.00629358575	0.0169463525	0.01024131428	"Simu1"	1.5	"NFT"	0.9	"cplasma"
0.0043797	0.0026827945	0.0086325485	0.00477216966	"Simu1"	1.5	"NFT"	1	"cplasma"
0.00206573	0.00115789775	0.00445472525	0.00231006072	"Simu1"	1.5	"NFT"	1.1	"cplasma"
0.00106347	0.0005206949	0.002443115	0.001205794002	"Simu1"	1.5	"NFT"	1.2	"cplasma"
0.000630291	0.000244514325	0.00148426375	0.000715578108	"Simu1"	1.5	"NFT"	1.3	"cplasma"
0.000427395	0.00012539475	0.0011800985	0.0005035497932	"Simu1"	1.5	"NFT"	1.4	"cplasma"
0.000333472	7.28590425e-05	0.00112193975	0.0004175434486	"Simu1"	1.5	"NFT"	1.5	"cplasma"
0.000296249	4.30858325e-05	0.001146445	0.0003886024734	"Simu1"	1.5	"NFT"	1.6	"cplasma"
0.0002943185	3.128085e-05	0.00119097225	0.0003851670796	"Simu1"	1.5	"NFT"	1.7	"cplasma"
0.000302326	2.42718e-05	0.001231459	0.00039288664712	"Simu1"	1.5	"NFT"	1.8	"cplasma"
0.000312647	2.1939035e-05	0.0012789245	0.00040518560784	"Simu1"	1.5	"NFT"	1.9	"cplasma"
0.000323016	1.9985745e-05	0.00132750825	0.0004190598042	"Simu1"	1.5	"NFT"	2	"cplasma"
0.000333758	2.00478975e-05	0.001374907	0.000433156613348	"Simu1"	1.5	"NFT"	2.1	"cplasma"
0.0003442285	2.043326e-05	0.001420238	0.000446874444608	"Simu1"	1.5	"NFT"	2.2	"cplasma"
