"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
20.2703	20.2703	20.2703	20.2703	"Simu1"	1.5	"NFT"	0	"cplasma"
2.30931	2.29996475	2.31872775	2.30933036	"Simu1"	1.5	"NFT"	0.1	"cplasma"
1.44265	1.4300085	1.45440175	1.4424107	"Simu1"	1.5	"NFT"	0.2	"cplasma"
0.839877	0.82853675	0.850606425	0.839649508	"Simu1"	1.5	"NFT"	0.3	"cplasma"
0.46886	0.459840175	0.4771409	0.468854064	"Simu1"	1.5	"NFT"	0.4	"cplasma"
0.254342	0.247524575	0.260829025	0.254291228	"Simu1"	1.5	"NFT"	0.5	"cplasma"
0.1354185	0.130347425	0.140358725	0.135357138	"Simu1"	1.5	"NFT"	0.6	"cplasma"
0.07135465	0.067692195	0.074604515	0.0712987924	"Simu1"	1.5	"NFT"	0.7	"cplasma"
0.0373534	0.03490413	0.0396169975	0.0373635826	"Simu1"	1.5	"NFT"	0.8	"cplasma"
0.0195729	0.0179805775	0.0209267175	0.0195465946	"Simu1"	1.5	"NFT"	0.9	"cplasma"
0.0102571	0.00928554925	0.01107941	0.01023688098	"Simu1"	1.5	"NFT"	1	"cplasma"
0.0054005	0.004804047	0.005934714	0.00538672708	"Simu1"	1.5	"NFT"	1.1	"cplasma"
0.00286484	0.0024846345	0.00327341125	0.00286550966	"Simu1"	1.5	"NFT"	1.2	"cplasma"
0.001551575	0.001290184	0.00190865075	0.00155764548	"Simu1"	1.5	"NFT"	1.3	"cplasma"
0.0008547095	0.0006795012	0.0012709115	0.000881463262	"Simu1"	1.5	"NFT"	1.4	"cplasma"
0.0005001545	0.000359396475	0.0009639231	0.000533988486	"Simu1"	1.5	"NFT"	1.5	"cplasma"
0.0003167955	0.000191876025	0.000822266999999999	0.000357299156	"Simu1"	1.5	"NFT"	1.6	"cplasma"
0.0002235575	0.000102118325	0.000761216399999999	0.000269274327	"Simu1"	1.5	"NFT"	1.7	"cplasma"
0.0001772825	5.62464525e-05	0.000741019299999999	0.0002271921852	"Simu1"	1.5	"NFT"	1.8	"cplasma"
0.000157003	3.15979325e-05	0.000744077499999999	0.00020880151	"Simu1"	1.5	"NFT"	1.9	"cplasma"
0.000148183	1.85874725e-05	0.000758382299999999	0.0002025519352	"Simu1"	1.5	"NFT"	2	"cplasma"
0.0001469935	1.20211575e-05	0.000775899774999999	0.00020242833846	"Simu1"	1.5	"NFT"	2.1	"cplasma"
0.000147985	8.595362e-06	0.000793746374999999	0.00020532282582	"Simu1"	1.5	"NFT"	2.2	"cplasma"
0.0001504605	6.68542625e-06	0.000811662475	0.0002096185787	"Simu1"	1.5	"NFT"	2.3	"cplasma"
0.000153597	5.8067035e-06	0.000828958875	0.000214488296212	"Simu1"	1.5	"NFT"	2.4	"cplasma"
0.000156967	5.497615e-06	0.0008455503	0.000219511357118	"Simu1"	1.5	"NFT"	2.5	"cplasma"
0.0001611495	5.40635725e-06	0.00086135535	0.000224476274402	"Simu1"	1.5	"NFT"	2.6	"cplasma"
0.0001646445	5.42550375e-06	0.0008760989	0.000229281747558	"Simu1"	1.5	"NFT"	2.7	"cplasma"
0.0001683165	5.4992025e-06	0.000889809974999999	0.000233882825776	"Simu1"	1.5	"NFT"	2.8	"cplasma"
0.000171623	5.59864175e-06	0.000902536899999999	0.00023826279927	"Simu1"	1.5	"NFT"	2.9	"cplasma"
0.000174798	5.70872725e-06	0.000913380699999999	0.00024242030351	"Simu1"	1.5	"NFT"	3	"cplasma"
0.0001769175	5.82215925e-06	0.000920525799999999	0.0002463608379	"Simu1"	1.5	"NFT"	3.1	"cplasma"
0.0001802985	5.93512625e-06	0.000926926599999999	0.000250092612012	"Simu1"	1.5	"NFT"	3.2	"cplasma"
0.000183708	6.045695e-06	0.000932648574999999	0.000253626036982	"Simu1"	1.5	"NFT"	3.3	"cplasma"
0.0001869155	6.15300625e-06	0.000937753824999999	0.000256971384022	"Simu1"	1.5	"NFT"	3.4	"cplasma"
0.000189768	6.2566645e-06	0.000942297399999999	0.00026013888164	"Simu1"	1.5	"NFT"	3.5	"cplasma"
0.0001931555	6.356568e-06	0.000947134849999999	0.000263138588622	"Simu1"	1.5	"NFT"	3.6	"cplasma"
0.0001967715	6.4527345e-06	0.000952549924999999	0.000265979695394	"Simu1"	1.5	"NFT"	3.7	"cplasma"
0.00020028	6.54524025e-06	0.000957466574999999	0.000268671107968	"Simu1"	1.5	"NFT"	3.8	"cplasma"
0.0002036855	6.63419775e-06	0.000961920749999999	0.000271221228402	"Simu1"	1.5	"NFT"	3.9	"cplasma"
0.0002063405	6.71974325e-06	0.000965950649999999	0.00027363780324	"Simu1"	1.5	"NFT"	4	"cplasma"
0.000208652	6.80199825e-06	0.000969587274999999	0.000275928254392	"Simu1"	1.5	"NFT"	4.1	"cplasma"
0.00021087	6.88109425e-06	0.000972861199999999	0.000278099444306	"Simu1"	1.5	"NFT"	4.2	"cplasma"
0.000212466	6.95716175e-06	0.000975800899999999	0.000280157924184	"Simu1"	1.5	"NFT"	4.3	"cplasma"
0.000213713	7.030307e-06	0.000978431849999999	0.000282109761146	"Simu1"	1.5	"NFT"	4.4	"cplasma"
0.0002161295	7.100671e-06	0.000980777099999999	0.00028396067067	"Simu1"	1.5	"NFT"	4.5	"cplasma"
0.00021969	7.16834475e-06	0.000982858549999999	0.000285715998142	"Simu1"	1.5	"NFT"	4.6	"cplasma"
0.0002218755	7.2094085e-06	0.000984696674999999	0.000287380976822	"Simu1"	1.5	"NFT"	4.7	"cplasma"
0.0002236255	7.24761375e-06	0.000986307849999999	0.000288960194614	"Simu1"	1.5	"NFT"	4.8	"cplasma"
0.000224135	7.2836995e-06	0.000987716374999999	0.000290458196518	"Simu1"	1.5	"NFT"	4.9	"cplasma"
0.0002251755	7.31782825e-06	0.000988924024999999	0.000291879196098	"Simu1"	1.5	"NFT"	5	"cplasma"
0.0002265065	7.35010425e-06	0.0009899594	0.000293227171416	"Simu1"	1.5	"NFT"	5.1	"cplasma"
0.0002277875	7.3806365e-06	0.000990835349999999	0.000294505880554	"Simu1"	1.5	"NFT"	5.2	"cplasma"
0.0002289405	7.409515e-06	0.000991552324999999	0.000295718764696	"Simu1"	1.5	"NFT"	5.3	"cplasma"
0.0002292975	7.43682875e-06	0.000992132249999999	0.00029686919304	"Simu1"	1.5	"NFT"	5.4	"cplasma"
0.0002296245	7.46269975e-06	0.000992581775	0.000297960295254	"Simu1"	1.5	"NFT"	5.5	"cplasma"
0.0002299225	7.488362e-06	0.000992915199999999	0.000298995174492	"Simu1"	1.5	"NFT"	5.6	"cplasma"
0.000230388	7.53573025e-06	0.000993133925	0.00029997633644	"Simu1"	1.5	"NFT"	5.7	"cplasma"
0.00023142	7.5817215e-06	0.0009950449	0.000300906586846	"Simu1"	1.5	"NFT"	5.8	"cplasma"
0.000232412	7.62637425e-06	0.0009981299	0.000301788379006	"Simu1"	1.5	"NFT"	5.9	"cplasma"
0.0002335285	7.669748e-06	0.001001132	0.000302624087466	"Simu1"	1.5	"NFT"	6	"cplasma"
0.0002347525	7.71188175e-06	0.00100146065	0.000303415916628	"Simu1"	1.5	"NFT"	6.1	"cplasma"
0.0002353235	7.752835e-06	0.001000716975	0.000304165891152	"Simu1"	1.5	"NFT"	6.2	"cplasma"
0.000235864	7.7926315e-06	0.000999940475	0.000304876117902	"Simu1"	1.5	"NFT"	6.3	"cplasma"
0.000236375	7.831326e-06	0.001000265	0.000305548376278	"Simu1"	1.5	"NFT"	6.4	"cplasma"
0.000236858	7.86895275e-06	0.001001614025	0.0003061844461	"Simu1"	1.5	"NFT"	6.5	"cplasma"
0.0002373155	7.92395825e-06	0.0010028619	0.000306786079232	"Simu1"	1.5	"NFT"	6.6	"cplasma"
0.0002377475	7.98234875e-06	0.001004742	0.000307354851156	"Simu1"	1.5	"NFT"	6.7	"cplasma"
0.000238156	8.04012125e-06	0.00100720975	0.00030789227909	"Simu1"	1.5	"NFT"	6.8	"cplasma"
0.000238542	8.09729e-06	0.0010095165	0.00030839969256	"Simu1"	1.5	"NFT"	6.9	"cplasma"
0.0002391645	8.153864e-06	0.00101168275	0.000308878572746	"Simu1"	1.5	"NFT"	7	"cplasma"
0.000240399	8.20988275e-06	0.0010137085	0.00030933011687	"Simu1"	1.5	"NFT"	7.1	"cplasma"
0.000241004	8.26535e-06	0.00101403975	0.000309755557534	"Simu1"	1.5	"NFT"	7.2	"cplasma"
0.000241211	8.3202905e-06	0.0010141455	0.000310156167198	"Simu1"	1.5	"NFT"	7.3	"cplasma"
0.0002413485	8.374708e-06	0.00101418325	0.000310532878106	"Simu1"	1.5	"NFT"	7.4	"cplasma"
0.0002414735	8.42862775e-06	0.0010141635	0.00031088682206	"Simu1"	1.5	"NFT"	7.5	"cplasma"
0.000241587	8.47919125e-06	0.00101408575	0.000311218973298	"Simu1"	1.5	"NFT"	7.6	"cplasma"
0.0002416895	8.50609075e-06	0.00101395525	0.000311530341364	"Simu1"	1.5	"NFT"	7.7	"cplasma"
0.0002417815	8.5117345e-06	0.0010137885	0.000311821729838	"Simu1"	1.5	"NFT"	7.8	"cplasma"
0.0002418645	8.51703875e-06	0.001013655	0.000312094011384	"Simu1"	1.5	"NFT"	7.9	"cplasma"
0.0002419385	8.52202775e-06	0.00101346475	0.000312348045702	"Simu1"	1.5	"NFT"	8	"cplasma"
0.000242004	8.52670675e-06	0.00101322725	0.000312584545414	"Simu1"	1.5	"NFT"	8.1	"cplasma"
0.0002420615	8.531111e-06	0.00101294825	0.00031280424884	"Simu1"	1.5	"NFT"	8.2	"cplasma"
0.000242123	8.53523525e-06	0.00101262775	0.000313007909642	"Simu1"	1.5	"NFT"	8.3	"cplasma"
0.000242357	8.5391195e-06	0.0010122605	0.000313196117182	"Simu1"	1.5	"NFT"	8.4	"cplasma"
0.000242554	8.54276375e-06	0.0010118565	0.000313369601782	"Simu1"	1.5	"NFT"	8.5	"cplasma"
0.0002426955	8.54618325e-06	0.001011411	0.000313528823522	"Simu1"	1.5	"NFT"	8.6	"cplasma"
0.000242828	8.5493975e-06	0.00101093925	0.000313674554922	"Simu1"	1.5	"NFT"	8.7	"cplasma"
0.000242953	8.55645425e-06	0.001010426	0.000313807186448	"Simu1"	1.5	"NFT"	8.8	"cplasma"
0.0002430705	8.576698e-06	0.00100988125	0.000313927293436	"Simu1"	1.5	"NFT"	8.9	"cplasma"
0.0002431805	8.596452e-06	0.00100931025	0.00031403540681	"Simu1"	1.5	"NFT"	9	"cplasma"
0.000243284	8.615559e-06	0.001008705375	0.000314131955392	"Simu1"	1.5	"NFT"	9.1	"cplasma"
0.0002433665	8.63281925e-06	0.00100807235	0.00031421740554	"Simu1"	1.5	"NFT"	9.2	"cplasma"
0.0002433475	8.64965875e-06	0.00100741785	0.000314292265578	"Simu1"	1.5	"NFT"	9.3	"cplasma"
0.000243326	8.66780425e-06	0.0010067309	0.000314356804426	"Simu1"	1.5	"NFT"	9.4	"cplasma"
0.000243302	8.7156725e-06	0.00100602725	0.000314411548286	"Simu1"	1.5	"NFT"	9.5	"cplasma"
0.00024363	8.76292325e-06	0.00100529735	0.000314456862698	"Simu1"	1.5	"NFT"	9.6	"cplasma"
0.000244132	8.80955775e-06	0.0010045455	0.000314492992264	"Simu1"	1.5	"NFT"	9.7	"cplasma"
0.000244482	8.835962e-06	0.001003772175	0.000314520430186	"Simu1"	1.5	"NFT"	9.8	"cplasma"
0.0002445685	8.8509435e-06	0.00100297785	0.000314539421322	"Simu1"	1.5	"NFT"	9.9	"cplasma"
0.000244648	8.86556225e-06	0.0010021673	0.000314550313776	"Simu1"	1.5	"NFT"	10	"cplasma"
0.0002446285	8.879823e-06	0.00100133575	0.000314553453048	"Simu1"	1.5	"NFT"	10.1	"cplasma"
0.000244589	8.8937505e-06	0.00100048845	0.000314549070678	"Simu1"	1.5	"NFT"	10.2	"cplasma"
0.000244548	8.90734e-06	0.000999625399999999	0.000314537490808	"Simu1"	1.5	"NFT"	10.3	"cplasma"
0.000244505	8.920611e-06	0.000998746599999999	0.00031451885868	"Simu1"	1.5	"NFT"	10.4	"cplasma"
0.0002444605	8.9335635e-06	0.000997852049999999	0.000314493696512	"Simu1"	1.5	"NFT"	10.5	"cplasma"
0.0002444155	8.9462075e-06	0.000996942224999999	0.000314461940148	"Simu1"	1.5	"NFT"	10.6	"cplasma"
0.0002443675	8.958552e-06	0.000996021899999999	0.000314424014848	"Simu1"	1.5	"NFT"	10.7	"cplasma"
0.000244506	8.970608e-06	0.000995085824999999	0.000314380129434	"Simu1"	1.5	"NFT"	10.8	"cplasma"
0.000244813	8.98237975e-06	0.000994140199999999	0.000314330415184	"Simu1"	1.5	"NFT"	10.9	"cplasma"
0.000245113	8.99387675e-06	0.000993184074999999	0.00031427512356	"Simu1"	1.5	"NFT"	11	"cplasma"
0.0002454045	9.0050995e-06	0.000992212199999999	0.000314214453444	"Simu1"	1.5	"NFT"	11.1	"cplasma"
0.000246088	9.01440975e-06	0.000991236024999999	0.000314148612196	"Simu1"	1.5	"NFT"	11.2	"cplasma"
0.0002465375	9.015024e-06	0.000990244099999999	0.000314077829178	"Simu1"	1.5	"NFT"	11.3	"cplasma"
0.000246951	9.01559775e-06	0.000989247874999999	0.00031400220793	"Simu1"	1.5	"NFT"	11.4	"cplasma"
0.0002470455	9.01613525e-06	0.000988241149999999	0.000313921999152	"Simu1"	1.5	"NFT"	11.5	"cplasma"
0.0002470375	9.016637e-06	0.000987224399999999	0.000313837203066	"Simu1"	1.5	"NFT"	11.6	"cplasma"
0.000247019	9.01709775e-06	0.000986198099999999	0.000313748111432	"Simu1"	1.5	"NFT"	11.7	"cplasma"
0.0002469545	9.01753275e-06	0.000985166549999999	0.000313654872792	"Simu1"	1.5	"NFT"	11.8	"cplasma"
0.00024689	9.01793725e-06	0.000984125449999999	0.000313557553906	"Simu1"	1.5	"NFT"	11.9	"cplasma"
0.000246825	9.01831075e-06	0.000983079574999999	0.000313456341374	"Simu1"	1.5	"NFT"	12	"cplasma"
27.027	27.027	27.027	27.027	"Simu1"	2	"NFT"	0	"cplasma"
3.32545	3.31478425	3.336321	3.3254094	"Simu1"	2	"NFT"	0.1	"cplasma"
2.253975	2.2383555	2.27005575	2.25406528	"Simu1"	2	"NFT"	0.2	"cplasma"
1.40667	1.38926375	1.42336925	1.40642762	"Simu1"	2	"NFT"	0.3	"cplasma"
0.8170475	0.80278915	0.8304904	0.816624196	"Simu1"	2	"NFT"	0.4	"cplasma"
0.455296	0.444837625	0.46479555	0.455250766	"Simu1"	2	"NFT"	0.5	"cplasma"
0.2465835	0.239245725	0.2534375	0.246640966	"Simu1"	2	"NFT"	0.6	"cplasma"
0.131302	0.126151675	0.1362418	0.131206752	"Simu1"	2	"NFT"	0.7	"cplasma"
0.06916305	0.0655380175	0.07253346	0.069101049	"Simu1"	2	"NFT"	0.8	"cplasma"
0.0361947	0.0338139175	0.0384075175	0.036219956	"Simu1"	2	"NFT"	0.9	"cplasma"
0.01899755	0.0174318575	0.020323325	0.0189621944	"Simu1"	2	"NFT"	1	"cplasma"
0.00996959	0.0090049325	0.0107739075	0.009947146	"Simu1"	2	"NFT"	1.1	"cplasma"
0.005260405	0.00467103575	0.0058177695	0.00525190378	"Simu1"	2	"NFT"	1.2	"cplasma"
0.00280427	0.0024191815	0.0032819385	0.00281239458	"Simu1"	2	"NFT"	1.3	"cplasma"
0.00152852	0.0012611145	0.00197997975	0.00154796222	"Simu1"	2	"NFT"	1.4	"cplasma"
0.0008602405	0.000663531225	0.00139941125	0.000895305024	"Simu1"	2	"NFT"	1.5	"cplasma"
0.000517609	0.00035230115	0.0011091685	0.000560749746	"Simu1"	2	"NFT"	1.6	"cplasma"
0.000339262	0.000187448175	0.000978994599999999	0.000391530124	"Simu1"	2	"NFT"	1.7	"cplasma"
0.0002502205	0.0001004894	0.000925178099999999	0.0003080883408	"Simu1"	2	"NFT"	1.8	"cplasma"
0.000207644	5.58653925e-05	0.000912210524999999	0.0002690376466	"Simu1"	2	"NFT"	1.9	"cplasma"
0.000187638	3.204987e-05	0.000921325849999999	0.0002528511058	"Simu1"	2	"NFT"	2	"cplasma"
0.0001808695	1.90840475e-05	0.000938822724999999	0.0002483414112	"Simu1"	2	"NFT"	2.1	"cplasma"
