iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	1.54478	7.74463	84.5609	1.63838	-1.242624e+01	-1.087798e+04	-1.089040e+04
90001	0.262457	3.42564	133.268	24.7528	-4.847346e+01	-4.646015e+03	-4.694489e+03
90002	0.262457	3.42564	135.924	24.7528	-5.045481e+01	-4.644119e+03	-4.694574e+03
90003	0.262457	3.42564	135.924	24.7528	-5.045481e+01	-4.644119e+03	-4.694574e+03
90004	0.262457	3.42564	132.432	28.4973	-5.110403e+01	-4.644109e+03	-4.695213e+03
90005	0.262457	3.42564	132.432	28.4973	-5.110403e+01	-4.644109e+03	-4.695213e+03
90006	0.262457	3.42564	134.546	25.3546	-4.990089e+01	-4.644349e+03	-4.694250e+03
90007	0.263029	3.42564	134.546	25.3546	-4.990090e+01	-4.644462e+03	-4.694363e+03
90008	0.261337	3.42564	136.458	24.6309	-5.076621e+01	-4.643859e+03	-4.694625e+03
90009	0.261337	3.42564	136.458	24.6309	-5.076621e+01	-4.643859e+03	-4.694625e+03
90010	0.261337	3.42564	136.458	24.6309	-5.076621e+01	-4.643859e+03	-4.694625e+03
90011	0.261337	3.42564	138.209	26.9029	-5.400724e+01	-4.642006e+03	-4.696013e+03
90012	0.261337	3.4394	135.242	26.9029	-5.170856e+01	-4.642438e+03	-4.694147e+03
90013	0.261337	3.44359	132.868	26.9029	-4.994367e+01	-4.644778e+03	-4.694721e+03
90014	0.261337	3.4069	136.529	26.9436	-5.277372e+01	-4.642470e+03	-4.695244e+03
90015	0.256744	3.4069	130.888	26.9436	-4.861585e+01	-4.645612e+03	-4.694228e+03
90016	0.256744	3.39232	134.19	26.9436	-5.103494e+01	-4.642926e+03	-4.693961e+03
90017	0.256744	3.3895	134.19	26.9436	-5.103959e+01	-4.642989e+03	-4.694029e+03
90018	0.256744	3.4051	134.19	27.1883	-5.122986e+01	-4.642559e+03	-4.693789e+03
90019	0.256744	3.4051	134.19	27.1883	-5.122986e+01	-4.642559e+03	-4.693789e+03
90020	0.256744	3.4051	134.19	27.1883	-5.122986e+01	-4.642559e+03	-4.693789e+03
90021	0.256744	3.4051	134.447	27.1883	-5.142157e+01	-4.642445e+03	-4.693867e+03
90022	0.256744	3.4051	134.447	24.4847	-4.916823e+01	-4.644569e+03	-4.693737e+03
90023	0.253112	3.4051	134.447	24.4847	-4.916815e+01	-4.644640e+03	-4.693808e+03
90024	0.253112	3.51364	136.501	25.2849	-5.117701e+01	-4.641965e+03	-4.693142e+03
90025	0.255521	3.52668	135.168	22.0096	-4.770172e+01	-4.646833e+03	-4.694534e+03
90026	0.255521	3.43443	135.168	23.2523	-4.872844e+01	-4.644966e+03	-4.693695e+03
90027	0.254998	3.43443	132.006	23.2523	-4.640198e+01	-4.647589e+03	-4.693991e+03
90028	0.254998	3.43443	132.71	23.2523	-4.691148e+01	-4.646776e+03	-4.693687e+03
90029	0.253358	3.38561	132.71	23.2523	-4.699188e+01	-4.646659e+03	-4.693651e+03
90030	0.253358	3.38561	129.367	23.2523	-4.461710e+01	-4.649905e+03	-4.694523e+03
90031	0.253358	3.38442	129.367	27.8404	-4.838982e+01	-4.646231e+03	-4.694621e+03
90032	0.253358	3.38442	129.367	27.8404	-4.838982e+01	-4.646231e+03	-4.694621e+03
90033	0.253358	3.38442	129.367	28.4659	-4.896916e+01	-4.645812e+03	-4.694781e+03
90034	0.253358	3.38442	129.367	28.4659	-4.896916e+01	-4.645812e+03	-4.694781e+03
90035	0.253358	3.38442	129.367	22.7672	-4.426958e+01	-4.650359e+03	-4.694628e+03
90036	0.253358	3.31713	129.367	22.7672	-4.438144e+01	-4.649705e+03	-4.694087e+03
90037	0.253358	3.31713	129.367	22.7672	-4.438144e+01	-4.649705e+03	-4.694087e+03
90038	0.253358	3.31713	129.367	22.7672	-4.438144e+01	-4.649705e+03	-4.694087e+03
90039	0.253358	3.31713	129.367	22.7672	-4.438144e+01	-4.649705e+03	-4.694087e+03
90040	0.250703	3.31713	129.367	22.7672	-4.438138e+01	-4.649861e+03	-4.694242e+03
90041	0.250703	3.31713	129.367	22.7672	-4.438138e+01	-4.649861e+03	-4.694242e+03
90042	0.250703	3.38241	129.367	22.7672	-4.427284e+01	-4.650196e+03	-4.694469e+03
90043	0.250703	3.42254	129.367	22.7672	-4.420666e+01	-4.651325e+03	-4.695532e+03
90044	0.250703	3.27128	129.367	25.822	-4.681596e+01	-4.648061e+03	-4.694877e+03
90045	0.250703	3.27128	129.367	25.822	-4.681596e+01	-4.648061e+03	-4.694877e+03
90046	0.250703	3.27128	129.367	25.822	-4.681596e+01	-4.648061e+03	-4.694877e+03
90047	0.250703	3.27128	123.952	25.822	-4.320652e+01	-4.652839e+03	-4.696046e+03
90048	0.250703	3.19911	123.952	25.822	-4.332856e+01	-4.651727e+03	-4.695056e+03
90049	0.250703	3.19911	125.27	25.822	-4.417978e+01	-4.650900e+03	-4.695080e+03
90050	0.250703	3.20211	125.27	25.822	-4.417469e+01	-4.650840e+03	-4.695015e+03
90051	0.250703	3.20211	125.27	25.822	-4.417469e+01	-4.650840e+03	-4.695015e+03
90052	0.250703	3.20211	125.27	25.822	-4.417469e+01	-4.650840e+03	-4.695015e+03
90053	0.250703	3.20211	125.27	25.822	-4.417469e+01	-4.650840e+03	-4.695015e+03
90054	0.250703	3.20211	125.27	17.908	-3.883588e+01	-4.659676e+03	-4.698511e+03
90055	0.256488	3.20103	125.27	17.908	-3.883784e+01	-4.659732e+03	-4.698570e+03
90056	0.256488	3.20103	127.132	17.908	-4.007045e+01	-4.658824e+03	-4.698895e+03
90057	0.256488	3.20103	127.132	18.0113	-4.012400e+01	-4.658648e+03	-4.698772e+03
90058	0.266468	3.20103	127.132	18.0113	-4.012424e+01	-4.660338e+03	-4.700462e+03
90059	0.266468	3.20103	127.132	26.8893	-4.632117e+01	-4.650017e+03	-4.696338e+03
90060	0.266468	3.20103	126.902	26.8893	-4.616694e+01	-4.650130e+03	-4.696297e+03
90061	0.266468	3.18506	126.902	26.8893	-4.619413e+01	-4.650338e+03	-4.696532e+03
90062	0.249906	3.18506	122.794	29.0276	-4.549335e+01	-4.650807e+03	-4.696300e+03
90063	0.249906	3.18506	122.794	22.6922	-4.020714e+01	-4.655601e+03	-4.695808e+03
90064	0.249906	3.18506	122.794	22.6922	-4.020714e+01	-4.655601e+03	-4.695808e+03
90065	0.249906	3.18506	122.794	22.6922	-4.020714e+01	-4.655601e+03	-4.695808e+03
90066	0.249906	3.18506	123.825	22.6922	-4.086034e+01	-4.654688e+03	-4.695549e+03
90067	0.249906	3.18506	123.825	22.6922	-4.086034e+01	-4.654688e+03	-4.695549e+03
90068	0.249906	3.18506	124.351	22.6922	-4.119759e+01	-4.654357e+03	-4.695554e+03
90069	0.257897	3.16847	125.569	22.6922	-4.201678e+01	-4.653681e+03	-4.695698e+03
90070	0.254142	3.16847	120.796	22.6922	-3.900099e+01	-4.657948e+03	-4.696949e+03
90071	0.254142	3.16847	126.604	27.2371	-4.633030e+01	-4.650071e+03	-4.696401e+03
90072	0.254142	3.20837	126.604	27.2371	-4.626235e+01	-4.648809e+03	-4.695071e+03
90073	0.254142	3.31468	127.049	27.2371	-4.638093e+01	-4.648356e+03	-4.694737e+03
90074	0.254142	3.31468	127.049	27.2371	-4.638093e+01	-4.648356e+03	-4.694737e+03
90075	0.254142	3.31468	128.645	23.6917	-4.456147e+01	-4.649402e+03	-4.693964e+03
90076	0.254142	3.31468	128.645	25.9795	-4.637673e+01	-4.647483e+03	-4.693860e+03
90077	0.254142	3.31468	128.645	25.9795	-4.637673e+01	-4.647483e+03	-4.693860e+03
90078	0.254142	3.31468	128.645	29.1117	-4.920139e+01	-4.645366e+03	-4.694568e+03
90079	0.254142	3.31468	130.072	29.1117	-5.019108e+01	-4.644396e+03	-4.694587e+03
90080	0.254142	3.38858	130.072	29.1117	-5.006825e+01	-4.644615e+03	-4.694683e+03
90081	0.254142	3.31219	130.072	29.1117	-5.019525e+01	-4.644415e+03	-4.694610e+03
90082	0.254142	3.31219	130.072	29.1117	-5.019525e+01	-4.644415e+03	-4.694610e+03
90083	0.254142	3.2892	130.072	22.4889	-4.472352e+01	-4.649994e+03	-4.694717e+03
90084	0.254142	3.2892	130.072	22.4889	-4.472352e+01	-4.649994e+03	-4.694717e+03
90085	0.254142	3.2892	130.072	22.4889	-4.472352e+01	-4.649994e+03	-4.694717e+03
90086	0.257342	3.38315	130.072	22.4889	-4.456708e+01	-4.650200e+03	-4.694767e+03
90087	0.257342	3.38315	133.488	23.7771	-4.795310e+01	-4.645950e+03	-4.693903e+03
90088	0.257342	3.38315	133.488	23.7771	-4.795310e+01	-4.645950e+03	-4.693903e+03
90089	0.257342	3.38315	133.488	23.7771	-4.795310e+01	-4.645950e+03	-4.693903e+03
90090	0.257342	3.47559	133.488	23.7771	-4.780125e+01	-4.646384e+03	-4.694185e+03
90091	0.257342	3.47559	131.627	23.7771	-4.645107e+01	-4.649357e+03	-4.695808e+03
90092	0.255883	3.38979	131.627	23.7771	-4.659191e+01	-4.647049e+03	-4.693641e+03
90093	0.255883	3.38979	131.627	23.7771	-4.659191e+01	-4.647049e+03	-4.693641e+03
90094	0.255883	3.38979	129.68	26.9104	-4.776614e+01	-4.646767e+03	-4.694533e+03
90095	0.255883	3.38979	132.764	26.9104	-4.996245e+01	-4.643620e+03	-4.693583e+03
90096	0.255883	3.38979	130.009	27.5202	-4.853751e+01	-4.645929e+03	-4.694466e+03
90097	0.255883	3.38979	130.009	28.9093	-4.982745e+01	-4.644993e+03	-4.694820e+03
90098	0.255883	3.38979	131.762	28.9093	-5.106996e+01	-4.643057e+03	-4.694127e+03
90099	0.244482	3.38979	131.762	28.9093	-5.106971e+01	-4.644396e+03	-4.695466e+03
90100	0.244482	3.47292	129.711	28.9093	-4.948259e+01	-4.648109e+03	-4.697591e+03
90101	0.244482	3.47292	129.711	28.9093	-4.948259e+01	-4.648109e+03	-4.697591e+03
90102	0.244482	3.47292	129.711	28.9093	-4.948259e+01	-4.648109e+03	-4.697591e+03
90103	0.244482	3.47292	129.711	28.9093	-4.948259e+01	-4.648109e+03	-4.697591e+03
90104	0.244482	3.44815	132.156	31.3769	-5.373932e+01	-4.642678e+03	-4.696417e+03
90105	0.244482	3.44815	132.156	31.3769	-5.373932e+01	-4.642678e+03	-4.696417e+03
90106	0.244482	3.44815	132.156	31.3769	-5.373932e+01	-4.642678e+03	-4.696417e+03
90107	0.244482	3.44815	132.156	25.9816	-4.862908e+01	-4.645848e+03	-4.694477e+03
90108	0.244482	3.44815	132.156	25.9816	-4.862908e+01	-4.645848e+03	-4.694477e+03
90109	0.244482	3.44815	132.156	25.9816	-4.862908e+01	-4.645848e+03	-4.694477e+03
90110	0.244482	3.44815	133.352	25.9816	-4.949928e+01	-4.644859e+03	-4.694358e+03
90111	0.244482	3.51403	135.723	25.9816	-5.115939e+01	-4.643013e+03	-4.694173e+03
90112	0.244482	3.51469	135.723	25.9816	-5.115831e+01	-4.643024e+03	-4.694182e+03
90113	0.244482	3.5047	135.723	29.7885	-5.465933e+01	-4.640677e+03	-4.695336e+03
90114	0.244482	3.5047	135.723	29.7885	-5.465933e+01	-4.640677e+03	-4.695336e+03
90115	0.244482	3.5047	135.822	29.7885	-5.473415e+01	-4.640624e+03	-4.695358e+03
90116	0.244482	3.45924	135.822	34.2353	-5.961294e+01	-4.639359e+03	-4.698972e+03
90117	0.244482	3.45924	135.822	34.2353	-5.961294e+01	-4.639359e+03	-4.698972e+03
90118	0.244482	3.45924	132.085	34.2353	-5.684916e+01	-4.641625e+03	-4.698475e+03
90119	0.244482	3.3928	128.465	27.6022	-4.753762e+01	-4.648392e+03	-4.695929e+03
90120	0.244482	3.3928	126.033	22.879	-4.207788e+01	-4.656470e+03	-4.698548e+03
90121	0.244482	3.3928	127.24	22.879	-4.288226e+01	-4.654053e+03	-4.696935e+03
90122	0.244482	3.3928	127.24	22.879	-4.288226e+01	-4.654053e+03	-4.696935e+03
90123	0.244482	3.3928	127.24	22.879	-4.288226e+01	-4.654053e+03	-4.696935e+03
90124	0.244482	3.38505	127.24	22.879	-4.289506e+01	-4.653780e+03	-4.696675e+03
90125	0.244482	3.38505	127.24	25.2765	-4.472458e+01	-4.651713e+03	-4.696438e+03
90126	0.244482	3.23768	127.24	25.2765	-4.497101e+01	-4.651379e+03	-4.696350e+03
90127	0.244482	3.22041	121.676	29.6511	-4.534477e+01	-4.653318e+03	-4.698663e+03
90128	0.244482	3.24875	121.676	26.6368	-4.250638e+01	-4.656015e+03	-4.698521e+03
90129	0.244482	3.24875	121.676	26.6368	-4.250638e+01	-4.656015e+03	-4.698521e+03
90130	0.244482	3.24875	122.639	26.6368	-4.310487e+01	-4.654307e+03	-4.697412e+03
90131	0.244482	3.24875	122.639	20.5744	-3.859308e+01	-4.659828e+03	-4.698421e+03
90132	0.244482	3.24875	122.639	25.601	-4.222990e+01	-4.655024e+03	-4.697254e+03
90133	0.244482	3.24875	122.639	23.5201	-4.060170e+01	-4.656755e+03	-4.697357e+03
90134	0.244482	3.09366	122.639	23.5201	-4.086646e+01	-4.658086e+03	-4.698952e+03
90135	0.244482	3.09754	120.177	25.9288	-4.124841e+01	-4.656545e+03	-4.697793e+03
90136	0.244482	3.09754	120.177	25.9288	-4.124841e+01	-4.656545e+03	-4.697793e+03
90137	0.262014	3.03121	120.177	25.9288	-4.136383e+01	-4.655923e+03	-4.697287e+03
90138	0.262014	3.03121	119.268	25.9288	-4.082060e+01	-4.656437e+03	-4.697258e+03
90139	0.262014	3.03121	119.268	25.9288	-4.082060e+01	-4.656437e+03	-4.697258e+03
90140	0.262014	3.03121	119.268	25.9288	-4.082060e+01	-4.656437e+03	-4.697258e+03
90141	0.262014	3.03121	119.268	25.9288	-4.082060e+01	-4.656437e+03	-4.697258e+03
90142	0.262014	3.03121	117.155	25.9288	-3.959062e+01	-4.658609e+03	-4.698200e+03
90143	0.262014	3.03121	117.258	23.3589	-3.763065e+01	-4.660806e+03	-4.698436e+03
90144	0.262014	3.03121	117.258	23.3589	-3.763065e+01	-4.660806e+03	-4.698436e+03
90145	0.262014	3.03121	117.258	23.3589	-3.763065e+01	-4.660806e+03	-4.698436e+03
90146	0.262014	3.03121	117.258	23.3589	-3.763065e+01	-4.660806e+03	-4.698436e+03
90147	0.262014	3.03121	120.711	23.3589	-3.966716e+01	-4.657986e+03	-4.697654e+03
90148	0.262014	3.03924	120.711	23.3589	-3.965318e+01	-4.657804e+03	-4.697457e+03
90149	0.262014	3.08577	123.791	23.3589	-4.148974e+01	-4.655938e+03	-4.697428e+03
90150	0.262014	3.08577	123.791	23.3589	-4.148974e+01	-4.655938e+03	-4.697428e+03
90151	0.262014	3.08577	120.776	23.3589	-3.961177e+01	-4.657263e+03	-4.696875e+03
90152	0.249239	3.08577	120.776	23.3589	-3.961148e+01	-4.657282e+03	-4.696894e+03
90153	0.249239	3.08577	120.776	23.3589	-3.961148e+01	-4.657282e+03	-4.696894e+03
90154	0.249239	3.08577	120.794	23.3589	-3.962252e+01	-4.657278e+03	-4.696900e+03
90155	0.249239	3.08577	120.794	23.3589	-3.962252e+01	-4.657278e+03	-4.696900e+03
90156	0.249239	3.08577	120.794	23.3589	-3.962252e+01	-4.657278e+03	-4.696900e+03
90157	0.249239	3.08577	120.57	23.3589	-3.948687e+01	-4.657374e+03	-4.696861e+03
90158	0.249239	3.08577	118.945	26.9627	-4.142179e+01	-4.655763e+03	-4.697185e+03
90159	0.249239	3.08577	118.161	26.9627	-4.096307e+01	-4.656657e+03	-4.697620e+03
90160	0.249239	3.11713	117.992	23.5037	-3.801124e+01	-4.660312e+03	-4.698323e+03
90161	0.249239	3.11713	117.992	23.5037	-3.801124e+01	-4.660312e+03	-4.698323e+03
90162	0.241683	3.07545	117.992	23.5037	-3.808300e+01	-4.661283e+03	-4.699366e+03
90163	0.241683	3.07545	117.992	23.5037	-3.808300e+01	-4.661283e+03	-4.699366e+03
90164	0.251744	3.07545	117.992	23.5037	-3.808322e+01	-4.659320e+03	-4.697404e+03
90165	0.251744	3.02249	119.592	23.5037	-3.911590e+01	-4.658731e+03	-4.697847e+03
90166	0.251744	3.02249	119.592	22.0519	-3.808354e+01	-4.660136e+03	-4.698219e+03
90167	0.251744	3.02249	119.374	23.4521	-3.894825e+01	-4.658758e+03	-4.697707e+03
90168	0.251744	3.02249	119.374	25.3198	-4.039653e+01	-4.657207e+03	-4.697603e+03
90169	0.251744	3.02249	119.634	25.3198	-4.055119e+01	-4.657180e+03	-4.697731e+03
90170	0.260825	3.04939	119.634	25.3198	-4.050455e+01	-4.656379e+03	-4.696883e+03
90171	0.260825	3.10699	119.634	25.3198	-4.040489e+01	-4.656808e+03	-4.697213e+03
90172	0.260825	3.10699	119.634	20.4675	-3.693186e+01	-4.661912e+03	-4.698843e+03
90173	0.256053	3.10699	119.634	20.4675	-3.693175e+01	-4.661095e+03	-4.698027e+03
90174	0.256053	3.10699	119.634	20.4675	-3.693175e+01	-4.661095e+03	-4.698027e+03
90175	0.256053	3.10699	119.634	20.4675	-3.693175e+01	-4.661095e+03	-4.698027e+03
90176	0.256053	3.10699	119.634	32.7513	-4.754960e+01	-4.651532e+03	-4.699082e+03
90177	0.256053	3.05932	119.634	31.5955	-4.637576e+01	-4.651968e+03	-4.698343e+03
90178	0.256053	3.05932	123.169	22.5685	-4.057299e+01	-4.657828e+03	-4.698401e+03
90179	0.256053	3.05932	123.169	22.5685	-4.057299e+01	-4.657828e+03	-4.698401e+03
90180	0.256053	3.08803	123.169	22.5685	-4.052328e+01	-4.656561e+03	-4.697084e+03
90181	0.256053	3.08803	123.169	29.6243	-4.647734e+01	-4.651184e+03	-4.697661e+03
90182	0.256053	3.08803	123.169	29.6243	-4.647734e+01	-4.651184e+03	-4.697661e+03
90183	0.256053	3.08803	123.169	29.6243	-4.647734e+01	-4.651184e+03	-4.697661e+03
90184	0.256053	3.15315	127.895	29.6243	-4.946202e+01	-4.649596e+03	-4.699058e+03
90185	0.25734	3.20677	127.895	28.9752	-4.873976e+01	-4.647351e+03	-4.696091e+03
90186	0.266407	3.21773	127.895	28.9752	-4.872137e+01	-4.647985e+03	-4.696706e+03
90187	0.265244	3.21773	127.895	27.0902	-4.698466e+01	-4.649025e+03	-4.696010e+03
90188	0.265244	3.29553	128.66	27.0902	-4.737600e+01	-4.648248e+03	-4.695624e+03
90189	0.265244	3.29553	128.66	27.0902	-4.737600e+01	-4.648248e+03	-4.695624e+03
90190	0.265244	3.29553	128.66	27.0902	-4.737600e+01	-4.648248e+03	-4.695624e+03
90191	0.265244	3.29553	128.66	26.3502	-4.673306e+01	-4.648819e+03	-4.695552e+03
90192	0.265244	3.23809	128.66	26.9694	-4.736618e+01	-4.648441e+03	-4.695807e+03
90193	0.265244	3.23809	128.66	26.9694	-4.736618e+01	-4.648441e+03	-4.695807e+03
90194	0.265244	3.25996	128.66	26.9694	-4.732928e+01	-4.648235e+03	-4.695564e+03
90195	0.265244	3.25996	124.933	29.3164	-4.701262e+01	-4.651062e+03	-4.698075e+03
90196	0.265244	3.25996	128.698	28.5727	-4.881551e+01	-4.647105e+03	-4.695921e+03
90197	0.265244	3.25996	128.698	28.5727	-4.881551e+01	-4.647105e+03	-4.695921e+03
90198	0.265244	3.25996	128.698	20.9429	-4.278557e+01	-4.654111e+03	-4.696897e+03
90199	0.253544	3.3035	128.698	20.9429	-4.271216e+01	-4.652242e+03	-4.694954e+03
90200	0.253544	3.3035	128.698	20.9429	-4.271216e+01	-4.652242e+03	-4.694954e+03
90201	0.253544	3.35919	128.698	24.9821	-4.552144e+01	-4.648690e+03	-4.694211e+03
90202	0.253544	3.35919	133.461	24.9821	-4.890680e+01	-4.645440e+03	-4.694347e+03
90203	0.253544	3.43908	133.461	24.9821	-4.877496e+01	-4.644484e+03	-4.693259e+03
90204	0.253544	3.43908	133.461	24.9821	-4.877496e+01	-4.644484e+03	-4.693259e+03
90205	0.253544	3.43908	133.461	25.9194	-4.954175e+01	-4.643745e+03	-4.693287e+03
90206	0.253544	3.43908	133.461	22.5106	-4.692169e+01	-4.646752e+03	-4.693674e+03
90207	0.247423	3.52088	133.433	28.5602	-5.173707e+01	-4.643401e+03	-4.695138e+03
90208	0.247423	3.38496	133.433	25.2483	-4.905777e+01	-4.645604e+03	-4.694661e+03
90209	0.247423	3.38496	133.433	25.2483	-4.905777e+01	-4.645604e+03	-4.694661e+03
90210	0.247423	3.38496	133.433	25.2483	-4.905777e+01	-4.645604e+03	-4.694661e+03
90211	0.247423	3.3914	132.11	25.2483	-4.808458e+01	-4.645892e+03	-4.693976e+03
90212	0.247423	3.3914	130.409	25.2483	-4.687220e+01	-4.647181e+03	-4.694053e+03
90213	0.247423	3.3914	130.409	23.9073	-4.582204e+01	-4.648311e+03	-4.694133e+03
90214	0.260573	3.3914	130.409	28.1604	-4.940073e+01	-4.645778e+03	-4.695179e+03
90215	0.260573	3.3914	132.217	28.1604	-5.069035e+01	-4.643698e+03	-4.694388e+03
90216	0.260573	3.41624	132.217	28.1604	-5.064938e+01	-4.643966e+03	-4.694615e+03
90217	0.260573	3.41624	133.26	28.1604	-5.140777e+01	-4.642912e+03	-4.694320e+03
90218	0.260573	3.36917	133.26	28.1604	-5.148552e+01	-4.643072e+03	-4.694557e+03
90219	0.260573	3.36917	129.994	28.1604	-4.914673e+01	-4.645839e+03	-4.694985e+03
90220	0.247509	3.36917	133.829	28.1604	-5.190397e+01	-4.644110e+03	-4.696014e+03
90221	0.247509	3.36917	133.829	25.6432	-4.969870e+01	-4.645792e+03	-4.695491e+03
90222	0.247509	3.36917	133.156	25.6432	-4.920370e+01	-4.645769e+03	-4.694973e+03
90223	0.247509	3.45151	133.156	25.6432	-4.906806e+01	-4.644671e+03	-4.693739e+03
90224	0.247509	3.45151	133.156	29.629	-5.267700e+01	-4.642095e+03	-4.694772e+03
90225	0.247509	3.45151	133.156	29.629	-5.267700e+01	-4.642095e+03	-4.694772e+03
90226	0.249477	3.45151	133.156	29.629	-5.267704e+01	-4.641798e+03	-4.694475e+03
90227	0.249477	3.45891	133.156	29.629	-5.266493e+01	-4.641864e+03	-4.694529e+03
90228	0.244332	3.45891	135.555	28.0997	-5.298902e+01	-4.642399e+03	-4.695389e+03
90229	0.254255	3.45891	135.555	28.0997	-5.298924e+01	-4.640714e+03	-4.693704e+03
90230	0.254255	3.45891	135.555	27.5807	-5.251505e+01	-4.641051e+03	-4.693566e+03
90231	0.251436	3.45891	135.555	27.5807	-5.251498e+01	-4.641195e+03	-4.693710e+03
90232	0.246982	3.55688	135.555	23.6183	-4.909098e+01	-4.645034e+03	-4.694125e+03
90233	0.246982	3.51477	135.555	27.3881	-5.225077e+01	-4.641678e+03	-4.693928e+03
90234	0.246982	3.51477	135.555	29.3177	-5.405317e+01	-4.640499e+03	-4.694552e+03
90235	0.246982	3.51477	135.555	31.5483	-5.632247e+01	-4.639346e+03	-4.695669e+03
90236	0.246982	3.51477	135.555	30.055	-5.478119e+01	-4.640123e+03	-4.694904e+03
90237	0.246982	3.48151	135.555	30.366	-5.514893e+01	-4.640040e+03	-4.695189e+03
90238	0.246982	3.48151	132.302	30.366	-5.274431e+01	-4.643058e+03	-4.695802e+03
90239	0.246982	3.49094	132.302	30.366	-5.272896e+01	-4.643292e+03	-4.696021e+03
90240	0.246982	3.49094	132.302	27.2536	-4.976472e+01	-4.645148e+03	-4.694913e+03
90241	0.246982	3.37278	132.302	27.2536	-4.995874e+01	-4.644801e+03	-4.694760e+03
90242	0.246982	3.37278	132.302	27.2536	-4.995874e+01	-4.644801e+03	-4.694760e+03
90243	0.246982	3.39141	134.318	22.5322	-4.764875e+01	-4.647842e+03	-4.695491e+03
90244	0.263965	3.39141	134.318	25.7638	-5.012425e+01	-4.644640e+03	-4.694764e+03
90245	0.263965	3.39141	134.318	25.7638	-5.012425e+01	-4.644640e+03	-4.694764e+03
90246	0.263965	3.39141	133.347	25.7638	-4.940766e+01	-4.645251e+03	-4.694658e+03
90247	0.263965	3.39141	133.347	21.6885	-4.635512e+01	-4.649226e+03	-4.695581e+03
90248	0.263965	3.39141	133.347	21.6885	-4.635512e+01	-4.649226e+03	-4.695581e+03
90249	0.263965	3.39141	131.66	21.7972	-4.520439e+01	-4.650790e+03	-4.695994e+03
90250	0.263965	3.39141	131.66	26.3696	-4.869471e+01	-4.646412e+03	-4.695106e+03
90251	0.263965	3.39141	131.66	29.622	-5.168635e+01	-4.644138e+03	-4.695824e+03
90252	0.263965	3.37194	131.66	26.6407	-4.896011e+01	-4.645959e+03	-4.694919e+03
90253	0.263965	3.37194	131.66	28.7692	-5.089321e+01	-4.644438e+03	-4.695331e+03
90254	0.263965	3.37194	130.678	26.2334	-4.791171e+01	-4.647347e+03	-4.695259e+03
90255	0.263965	3.32704	129.333	26.2334	-4.704515e+01	-4.648197e+03	-4.695243e+03
90256	0.258742	3.26517	129.294	26.2334	-4.712155e+01	-4.647449e+03	-4.694571e+03
90257	0.258742	3.40418	129.294	26.2334	-4.688992e+01	-4.648925e+03	-4.695815e+03
90258	0.258742	3.40418	134.989	21.2653	-4.727287e+01	-4.647805e+03	-4.695078e+03
90259	0.258742	3.40418	134.989	23.2987	-4.867849e+01	-4.645607e+03	-4.694285e+03
90260	0.258742	3.40418	130.521	23.2987	-4.542724e+01	-4.649501e+03	-4.694928e+03
90261	0.258742	3.40418	130.521	23.8809	-4.586017e+01	-4.648948e+03	-4.694808e+03
90262	0.258742	3.40418	130.521	23.8809	-4.586017e+01	-4.648948e+03	-4.694808e+03
90263	0.252996	3.41905	130.521	23.8809	-4.583554e+01	-4.648498e+03	-4.694333e+03
90264	0.252996	3.41905	130.521	23.8809	-4.583554e+01	-4.648498e+03	-4.694333e+03
90265	0.252996	3.41905	130.521	23.8809	-4.583554e+01	-4.648498e+03	-4.694333e+03
90266	0.252996	3.41905	130.521	23.8809	-4.583554e+01	-4.648498e+03	-4.694333e+03
90267	0.252509	3.36972	130.521	23.8809	-4.591699e+01	-4.647727e+03	-4.693644e+03
90268	0.25765	3.36972	130.521	23.8809	-4.591711e+01	-4.648076e+03	-4.693993e+03
90269	0.25765	3.36972	131.845	23.8809	-4.686000e+01	-4.646894e+03	-4.693754e+03
90270	0.25765	3.46439	137.982	23.8809	-5.130132e+01	-4.643102e+03	-4.694403e+03
90271	0.2553	3.47239	137.982	23.8809	-5.128820e+01	-4.642902e+03	-4.694191e+03
90272	0.2553	3.5048	137.982	23.2439	-5.076249e+01	-4.642918e+03	-4.693681e+03
90273	0.2553	3.45772	130.887	23.2439	-4.555841e+01	-4.650010e+03	-4.695569e+03
90274	0.2553	3.4286	135.884	23.2439	-4.927324e+01	-4.644821e+03	-4.694095e+03
90275	0.2553	3.4286	135.884	24.7998	-5.045704e+01	-4.643430e+03	-4.693887e+03
90276	0.2553	3.43744	135.884	24.7998	-5.044252e+01	-4.643273e+03	-4.693716e+03
90277	0.2553	3.43744	137.317	24.7998	-5.153987e+01	-4.643102e+03	-4.694642e+03
