iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
0	0.175214	0.0840192	477.584	8.97165	22.6076	0.0805552	-7.561044e+00	-6.375255e+04	-6.376012e+04
90001	0.377149	0.758586	8.16902	3.12805	0.919846	0.00122084	-1.763233e+02	-1.084705e+03	-1.261028e+03
90002	0.383944	0.758586	8.13967	3.35526	0.873713	0.00122084	-1.762875e+02	-1.087024e+03	-1.263311e+03
90003	0.399871	0.758586	8.03685	3.35526	0.882218	0.00122084	-1.762605e+02	-1.087415e+03	-1.263675e+03
90004	0.399871	0.737087	8.03685	3.35526	0.882218	0.00122084	-1.701994e+02	-1.092898e+03	-1.263098e+03
90005	0.384233	0.737087	8.03685	3.30969	0.908667	0.00122084	-1.702165e+02	-1.092692e+03	-1.262909e+03
90006	0.384233	0.741131	7.95393	3.30969	0.90704	0.00122084	-1.713476e+02	-1.090461e+03	-1.261808e+03
90007	0.384233	0.741131	8.04859	3.30969	0.90704	0.00122084	-1.713429e+02	-1.090989e+03	-1.262332e+03
90008	0.402563	0.741131	7.93959	3.30969	0.90704	0.00122084	-1.713188e+02	-1.091239e+03	-1.262558e+03
90009	0.392355	0.74921	7.93959	3.30969	0.90704	0.00122084	-1.736044e+02	-1.087978e+03	-1.261583e+03
90010	0.392355	0.74921	8.08962	3.44247	0.929708	0.00122084	-1.735445e+02	-1.089874e+03	-1.263419e+03
90011	0.392355	0.74921	8.08962	3.10302	0.939889	0.00122084	-1.736281e+02	-1.088877e+03	-1.262505e+03
90012	0.358176	0.74921	8.08962	2.82077	0.939889	0.00267671	-1.723356e+02	-1.092547e+03	-1.264882e+03
90013	0.358176	0.75059	8.08962	2.7348	0.953898	0.0033377	-1.720989e+02	-1.093454e+03	-1.265553e+03
90014	0.358176	0.742635	7.78734	2.7348	0.953898	0.0033377	-1.698750e+02	-1.096737e+03	-1.266612e+03
90015	0.358176	0.7421	7.74519	2.7348	0.953898	0.0033377	-1.697272e+02	-1.097252e+03	-1.266980e+03
90016	0.358176	0.718862	7.57029	2.68556	0.998059	0.0033377	-1.633263e+02	-1.105227e+03	-1.268553e+03
90017	0.362991	0.718862	7.57029	2.68556	0.991505	0.0033377	-1.633233e+02	-1.104537e+03	-1.267860e+03
90018	0.362991	0.718862	7.27714	3.05624	0.990944	0.00245396	-1.640907e+02	-1.102920e+03	-1.267011e+03
90019	0.362991	0.728149	7.27714	3.05624	0.990944	0.00245396	-1.666187e+02	-1.100274e+03	-1.266893e+03
90020	0.39171	0.728149	7.56524	3.01596	0.983465	0.00245396	-1.665748e+02	-1.098651e+03	-1.265226e+03
90021	0.384004	0.728149	7.3398	3.01596	0.983465	0.00245396	-1.665984e+02	-1.098586e+03	-1.265185e+03
90022	0.384004	0.728149	7.51647	3.01596	0.983463	0.00245396	-1.665897e+02	-1.097787e+03	-1.264377e+03
90023	0.384004	0.742722	7.51647	3.01596	0.983463	0.00245396	-1.706259e+02	-1.093616e+03	-1.264242e+03
90024	0.384004	0.737606	7.56412	3.29454	0.983463	0.00245396	-1.691206e+02	-1.095827e+03	-1.264948e+03
90025	0.391644	0.737606	7.37036	3.29454	0.983463	0.000948204	-1.705980e+02	-1.093668e+03	-1.264266e+03
90026	0.382617	0.737606	7.46377	3.26547	0.995706	0.000948204	-1.706065e+02	-1.093552e+03	-1.264158e+03
90027	0.382617	 0.74	7.46377	3.19149	0.943672	0.00129928	-1.709853e+02	-1.092691e+03	-1.263676e+03
90028	0.367941	0.733116	7.60851	2.91065	0.938089	0.00129928	-1.691747e+02	-1.094261e+03	-1.263436e+03
90029	0.371256	0.719715	7.62084	2.90561	0.938089	0.00129928	-1.655068e+02	-1.098011e+03	-1.263518e+03
90030	0.380878	0.719715	7.48036	3.08111	0.938089	0.00129928	-1.654489e+02	-1.097305e+03	-1.262753e+03
90031	0.380878	0.719715	7.48036	3.08111	0.938089	0.00102846	-1.657166e+02	-1.096677e+03	-1.262394e+03
90032	0.380878	0.714645	7.70088	3.08111	0.928685	0.00102846	-1.643456e+02	-1.099272e+03	-1.263617e+03
90033	0.380878	0.72116	7.70088	3.14589	0.928685	0.00102846	-1.660865e+02	-1.096491e+03	-1.262577e+03
90034	0.394565	0.72116	7.717	3.14589	0.932362	0.00102846	-1.660608e+02	-1.096999e+03	-1.263060e+03
90035	0.394565	0.72116	7.717	3.14589	0.894294	0.00102846	-1.660899e+02	-1.097120e+03	-1.263210e+03
90036	0.376644	0.716199	7.66011	3.14589	0.894294	0.00102846	-1.647807e+02	-1.099272e+03	-1.264052e+03
90037	0.376644	0.723546	7.81912	2.97215	0.894294	0.00102846	-1.668102e+02	-1.097319e+03	-1.264129e+03
90038	0.404988	0.723546	7.81912	2.97215	0.901603	0.00102846	-1.667590e+02	-1.098851e+03	-1.265610e+03
90039	0.404988	0.729365	7.90715	2.97215	0.902783	0.00102846	-1.683447e+02	-1.097047e+03	-1.265392e+03
90040	0.404988	0.739262	8.12424	2.92684	0.902783	0.00126426	-1.708506e+02	-1.095561e+03	-1.266411e+03
90041	0.381678	0.739262	8.12424	2.92684	0.949985	0.00126426	-1.708520e+02	-1.094052e+03	-1.264904e+03
90042	0.376261	0.760188	8.12424	3.14438	0.949985	0.00235897	-1.756407e+02	-1.086592e+03	-1.262233e+03
90043	0.385757	0.760188	8.12424	3.47392	0.949985	0.00449899	-1.734705e+02	-1.092313e+03	-1.265784e+03
90044	0.385757	0.760188	8.12424	3.47392	0.928532	0.00449899	-1.734869e+02	-1.091195e+03	-1.264682e+03
90045	0.385757	0.760188	8.12424	3.47208	0.876856	0.00102282	-1.769070e+02	-1.085981e+03	-1.262888e+03
90046	0.385757	0.782768	8.09882	3.19678	0.93679	0.00102282	-1.835157e+02	-1.077808e+03	-1.261324e+03
90047	0.387579	0.782768	8.14277	3.19678	0.935585	0.00102282	-1.835115e+02	-1.077622e+03	-1.261133e+03
90048	0.387579	0.77615	8.28647	3.00348	0.935585	0.00105661	-1.815747e+02	-1.079410e+03	-1.260984e+03
90049	0.376403	0.781853	8.28647	2.91061	0.96673	0.000859831	-1.834692e+02	-1.076824e+03	-1.260293e+03
