iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Trc(1)	LnPrior	LnData	LnPosterior
0	1.74612	0.0700013	66.466	32.4504	0.197052	-7.690460e+00	-9.828084e+03	-9.835775e+03
90001	0.298802	0.922904	37.8562	32.5874	0.000134179	-1.641953e+02	-4.889721e+03	-5.053916e+03
90002	0.298802	0.948967	38.1311	32.5874	0.000134179	-1.734437e+02	-4.881799e+03	-5.055243e+03
90003	0.298802	0.948967	38.4146	32.5874	0.000164742	-1.733821e+02	-4.881548e+03	-5.054930e+03
90004	0.298802	0.948967	39.5438	34.8204	0.000164742	-1.743687e+02	-4.880649e+03	-5.055018e+03
90005	0.298802	0.948967	39.5438	34.8204	0.000185624	-1.743687e+02	-4.880802e+03	-5.055171e+03
90006	0.298802	0.955486	39.5438	34.3673	0.000199544	-1.764752e+02	-4.878670e+03	-5.055145e+03
90007	0.299859	0.933271	39.5438	34.3673	0.000199244	-1.684636e+02	-4.887680e+03	-5.056143e+03
90008	0.299859	0.933271	38.6245	34.3673	0.000219949	-1.686559e+02	-4.886036e+03	-5.054691e+03
90009	0.299859	0.939903	39.0146	34.3673	0.000219949	-1.709437e+02	-4.883940e+03	-5.054884e+03
90010	0.299859	0.939903	39.0146	34.3673	0.000219949	-1.709437e+02	-4.883940e+03	-5.054884e+03
90011	0.299859	0.939903	38.1598	34.3673	0.000103532	-1.711268e+02	-4.883093e+03	-5.054220e+03
90012	0.299859	0.939903	38.1598	34.3673	0.000103532	-1.711268e+02	-4.883093e+03	-5.054220e+03
90013	0.299859	0.939903	38.1598	34.3673	0.000103532	-1.711268e+02	-4.883093e+03	-5.054220e+03
90014	0.299859	0.939903	38.1598	28.7905	0.000103532	-1.685438e+02	-4.886190e+03	-5.054734e+03
90015	0.299859	0.904943	38.0447	30.1037	0.000103532	-1.567675e+02	-4.898290e+03	-5.055058e+03
90016	0.299859	0.904943	37.8413	36.1352	0.000103532	-1.599775e+02	-4.894788e+03	-5.054766e+03
90017	0.299859	0.904943	37.1785	32.8528	0.000186562	-1.582236e+02	-4.896151e+03	-5.054374e+03
90018	0.299859	0.908074	37.1785	32.8528	0.000186562	-1.593051e+02	-4.895040e+03	-5.054345e+03
90019	0.299859	0.908074	37.1785	32.8528	0.000121254	-1.593051e+02	-4.894611e+03	-5.053916e+03
90020	0.308064	0.908074	37.1785	32.8528	0.000121254	-1.592912e+02	-4.894927e+03	-5.054218e+03
90021	0.306442	0.908074	37.1785	32.8528	0.000121254	-1.592939e+02	-4.894766e+03	-5.054060e+03
90022	0.306442	0.908074	37.7983	35.0974	0.000121254	-1.604092e+02	-4.893643e+03	-5.054053e+03
90023	0.306442	0.912837	37.7983	35.0974	9.50276e-05	-1.620620e+02	-4.891745e+03	-5.053807e+03
90024	0.306442	0.912837	37.7357	35.0974	9.50276e-05	-1.620759e+02	-4.891760e+03	-5.053836e+03
90025	0.313967	0.912837	37.0794	32.3869	9.50276e-05	-1.607215e+02	-4.895431e+03	-5.056153e+03
90026	0.313967	0.912837	37.9124	32.3869	9.50276e-05	-1.605340e+02	-4.894280e+03	-5.054814e+03
90027	0.313967	0.907004	37.9124	32.3869	9.50276e-05	-1.585114e+02	-4.896243e+03	-5.054755e+03
90028	0.31295	0.886561	38.3243	32.3869	9.50276e-05	-1.514413e+02	-4.905827e+03	-5.057268e+03
90029	0.31295	0.886561	38.3467	32.3869	8.87879e-05	-1.514365e+02	-4.905839e+03	-5.057276e+03
90030	0.31295	0.956461	38.9494	32.3869	5.45584e-05	-1.758708e+02	-4.880798e+03	-5.056669e+03
90031	0.31295	0.956461	39.4376	32.3869	5.45584e-05	-1.757693e+02	-4.880105e+03	-5.055874e+03
90032	0.31295	0.956461	39.4376	29.34	0.00024132	-1.744452e+02	-4.883365e+03	-5.057810e+03
