iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	 1.98	1.57803	0.0944977	123.877	0.0614917	71.4126	8.6744	-9.661857e+00	-9.042528e+03	-9.052190e+03
90001	0.41138	8.53753	0.0752055	1.40943	0.495919	6.3156	14.8535	-8.785739e+01	-3.620758e+02	-4.499332e+02
90002	0.41138	8.53753	0.0752055	1.40943	0.50137	6.3156	14.8535	-8.885102e+01	-3.612454e+02	-4.500964e+02
90003	0.41138	8.60519	0.0752055	1.41987	0.493962	6.3156	14.8535	-8.794729e+01	-3.621189e+02	-4.500662e+02
90004	0.41138	8.51825	0.0752055	1.41987	0.493962	6.3156	14.8535	-8.737682e+01	-3.624902e+02	-4.498670e+02
90005	0.41138	8.21328	0.0752055	1.38694	0.493962	6.3156	15.3482	-8.563826e+01	-3.643902e+02	-4.500284e+02
90006	0.41138	8.21328	0.0752055	1.38694	0.49954	6.115	15.3482	-8.675857e+01	-3.659574e+02	-4.527159e+02
90007	0.41138	8.21328	0.0752055	1.34238	0.497742	6.115	15.3482	-8.643473e+01	-3.640322e+02	-4.504670e+02
90008	0.41138	8.21328	0.0752055	1.33839	0.497742	6.32554	15.3482	-8.632185e+01	-3.637517e+02	-4.500736e+02
90009	0.41138	8.21328	0.0752055	1.39902	0.497742	6.32554	15.3482	-8.631656e+01	-3.645134e+02	-4.508300e+02
90010	0.41138	8.21328	0.0752055	1.40416	0.49958	6.32554	15.3482	-8.665115e+01	-3.647185e+02	-4.513697e+02
90011	0.41138	8.21328	0.0752055	1.40416	0.49958	6.4766	15.1096	-8.647255e+01	-3.640963e+02	-4.505689e+02
90012	0.41138	8.21328	0.0559204	1.40416	0.499557	6.4766	10.7811	-8.666786e+01	-3.635083e+02	-4.501761e+02
90013	0.41138	8.21328	0.0564854	1.42813	0.499557	6.4766	10.7811	-8.656903e+01	-3.643929e+02	-4.509620e+02
90014	0.41138	8.21328	0.0564854	1.39138	0.495348	6.4766	10.7811	-8.580704e+01	-3.646034e+02	-4.504104e+02
90015	0.41138	8.21328	0.0564854	1.41568	0.495348	6.4766	10.7811	-8.580492e+01	-3.648699e+02	-4.506748e+02
90016	0.41138	8.21328	0.0564854	1.38988	0.491457	6.23195	10.7811	-8.523750e+01	-3.636715e+02	-4.489090e+02
90017	0.41138	8.3185	0.0564854	1.34919	0.504268	6.00698	10.7811	-8.835237e+01	-3.607852e+02	-4.491375e+02
90018	0.41138	8.3185	0.0564854	1.34919	0.504268	6.11714	10.7811	-8.829295e+01	-3.604413e+02	-4.487342e+02
90019	0.41138	8.3185	0.0564854	1.34919	0.514118	6.11714	10.7811	-9.012987e+01	-3.596494e+02	-4.497793e+02
90020	0.41138	8.3185	0.0564854	1.34919	0.514118	6.11714	10.5009	-9.006666e+01	-3.597498e+02	-4.498165e+02
90021	0.41138	8.3185	0.0564854	1.34919	0.514118	6.28722	10.5009	-8.997516e+01	-3.592185e+02	-4.491936e+02
