"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"LnPrior"	"LnData"	"LnPosterior"
95001	0.259695	3.00817	122.835	30.195	-46.97437	-4654.64	-4701.615
95002	0.268157	3.00817	122.835	29.507	-46.29073	-4655.114	-4701.405
95003	0.267033	3.00817	117.648	29.507	-43.16566	-4656.498	-4699.664
95004	0.267033	3.00817	117.648	29.507	-43.16566	-4656.498	-4699.664
95005	0.267033	3.00817	117.648	29.507	-43.16566	-4656.498	-4699.664
95006	0.267033	3.00817	117.648	31.2378	-44.92218	-4655.495	-4700.418
95007	0.267033	3.00918	121.302	21.3844	-38.69449	-4661.544	-4700.238
95008	0.254497	3.00918	121.302	22.9195	-39.74737	-4659.674	-4699.421
95009	0.254497	3.00918	118.387	25.1895	-39.7329	-4657.636	-4697.369
95010	0.254497	3.00918	115.854	22.4698	-36.23738	-4662.275	-4698.512
95011	0.254497	3.00918	115.854	22.4698	-36.23738	-4662.275	-4698.512
95012	0.254497	2.96236	115.854	22.4698	-36.31946	-4662.301	-4698.62
95013	0.254497	2.96236	115.854	24.4794	-37.80457	-4660.414	-4698.219
95014	0.254497	2.96236	115.854	28.515	-41.27475	-4657.512	-4698.787
95015	0.254497	2.96236	115.854	28.1243	-40.91026	-4657.749	-4698.659
95016	0.254497	3.09193	125.08	23.206	-42.19782	-4656.484	-4698.682
95017	0.254497	3.09193	125.08	21.756	-41.18393	-4657.974	-4699.158
95018	0.254497	3.09193	125.08	21.7184	-41.15876	-4657.99	-4699.149
95019	0.254497	3.09193	125.08	21.7184	-41.15876	-4657.99	-4699.149
95020	0.254497	3.32326	127.092	30.2941	-49.30161	-4646.634	-4695.936
95021	0.254497	3.32326	127.092	30.2941	-49.30161	-4646.634	-4695.936
95022	0.254497	3.32326	128.347	30.2941	-50.15085	-4645.033	-4695.184
95023	0.254497	3.32326	128.347	30.9498	-50.82285	-4644.687	-4695.51
95024	0.254497	3.32326	128.347	30.9498	-50.82285	-4644.687	-4695.51
95025	0.254497	3.32326	129.142	30.9498	-51.36938	-4643.928	-4695.298
95026	0.254497	3.32326	129.142	26.4471	-47.10111	-4646.727	-4693.828
95027	0.254497	3.32326	129.142	32.7204	-53.26995	-4643.059	-4696.329
95028	0.254497	3.32326	129.142	31.1882	-51.61791	-4643.824	-4695.441
95029	0.254497	3.32326	129.142	31.1882	-51.61791	-4643.824	-4695.441
95030	0.254497	3.32326	129.142	30.1096	-50.51142	-4644.393	-4694.904
95031	0.254497	3.28527	127.017	27.8102	-46.92457	-4647.597	-4694.521
