"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Tmc.1."	"Kt.1."	"LnPrior"	"LnData"	"LnPosterior"
95001	0.380171	0.78042	8.32241	3.05584	0.967422	0.000805174	-183.0511	-1078.019	-1261.07
95002	0.380171	0.787439	8.32241	3.05584	0.936123	0.000805174	-185.1551	-1074.959	-1260.114
95003	0.380171	0.783837	8.58664	3.27424	0.884929	0.00113512	-183.7247	-1078.552	-1262.276
95004	0.378137	0.79957	8.58664	3.27424	0.884929	0.00113512	-188.4398	-1074.803	-1263.243
95005	0.389001	0.79957	8.86401	3.36871	0.884929	0.00113512	-188.3834	-1074.909	-1263.292
95006	0.382616	0.820264	9.26249	3.21103	0.884929	0.00113512	-194.7646	-1070.324	-1265.088
95007	0.382616	0.832306	9.23286	3.21103	0.884929	0.00113512	-198.5389	-1066.195	-1264.734
95008	0.380512	0.832306	9.23286	3.21103	0.884929	0.00113512	-198.5423	-1066.119	-1264.661
95009	0.386868	0.832306	9.23286	3.22094	0.884929	0.00113512	-198.5294	-1066.45	-1264.98
95010	0.387738	0.82581	9.23306	3.22094	0.884929	0.00113512	-196.4855	-1068.445	-1264.93
95011	0.387738	0.82581	9.11505	3.22094	0.884929	0.00113512	-196.4913	-1067.968	-1264.459
95012	0.387738	0.831979	8.96711	3.61011	0.884929	0.00113512	-198.3355	-1067.238	-1265.574
95013	0.387738	0.834883	8.96711	3.74593	0.884929	0.00113512	-199.2191	-1067.352	-1266.572
95014	0.385348	0.817098	8.96711	3.51669	0.873045	0.00113512	-193.7205	-1070.897	-1264.618
95015	0.385348	0.817098	8.96711	3.51669	0.873045	0.00113512	-193.7205	-1070.897	-1264.618
95016	0.370372	0.811879	8.79516	3.51943	0.873045	0.00113512	-192.1418	-1073.678	-1265.82
95017	0.370957	0.811879	8.79516	3.51943	0.873045	0.00113512	-192.1408	-1073.592	-1265.732
95018	0.370957	0.818959	8.8875	3.51943	0.87126	0.00113512	-194.3252	-1071.882	-1266.207
95019	0.385593	0.818959	9.32462	3.51943	0.87126	0.00113512	-194.28	-1072.936	-1267.216
95020	0.384659	0.818959	9.32462	3.51943	0.87126	0.00113512	-194.2815	-1072.952	-1267.234
95021	0.393455	0.818959	9.32462	3.51943	0.87126	0.00113512	-194.2673	-1073.134	-1267.402
95022	0.393455	0.836508	9.42621	3.51943	0.854977	0.00113512	-199.7834	-1068.197	-1267.98
95023	0.393455	0.836508	9.32934	3.31853	0.854977	0.00113512	-199.841	-1068.218	-1268.059
95024	0.396344	0.832975	9.5527	3.31853	0.854977	0.00113512	-198.7064	-1070.426	-1269.133
95025	0.396344	0.832975	9.5527	3.31853	0.854977	0.00113512	-198.7064	-1070.426	-1269.133
95026	0.396344	0.851853	9.57031	3.31853	0.854977	0.00113512	-204.7422	-1065.233	-1269.975
95027	0.38779	0.858643	9.57031	3.31853	0.854977	0.00113512	-206.9619	-1062.95	-1269.912
95028	0.38779	0.830088	9.57031	3.48893	0.854977	0.00113512	-197.7638	-1071.392	-1269.155
95029	0.38779	0.831742	9.17566	3.48893	0.914288	0.00113512	-198.2591	-1067.364	-1265.623
95030	0.393755	0.831742	8.7866	3.3999	0.921857	0.00113512	-198.2862	-1066.225	-1264.512
95031	0.38575	0.80077	8.3987	3.3999	0.962207	0.00186231	-187.9915	-1075.41	-1263.401
