"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Trc.1."	"LnPrior"	"LnData"	"LnPosterior"
95001	0.302504	0.914684	37.9918	33.5451	0.000243928	-161.7799	-4892.875	-5054.655
95002	0.29912	0.914684	37.355	33.5451	7.97549e-05	-161.9278	-4891.672	-5053.6
95003	0.29912	0.892477	37.355	33.5451	1.47458e-05	-154.2835	-4900.059	-5054.342
95004	0.313407	0.921705	37.355	33.5451	1.47458e-05	-164.3616	-4891.266	-5055.628
95005	0.313407	0.921705	39.3782	33.5451	1.47458e-05	-163.924	-4891.326	-5055.25
95006	0.308917	0.955718	39.3782	40.0547	1.47458e-05	-180.4921	-4875.637	-5056.129
95007	0.308917	0.955718	39.3782	40.0547	1.47458e-05	-180.4921	-4875.637	-5056.129
95008	0.29299	0.955718	39.3782	32.9895	6.82779e-06	-175.8499	-4878.49	-5054.34
95009	0.29299	0.955718	39.3782	32.9895	3.80576e-05	-175.8499	-4878.725	-5054.575
95010	0.29365	0.955718	39.3782	32.9895	3.80576e-05	-175.8488	-4878.642	-5054.491
95011	0.29365	0.950923	39.3782	32.9895	0.000162875	-174.1027	-4881.299	-5055.402
95012	0.302465	0.950923	39.5646	32.9895	0.000252663	-174.0494	-4881.283	-5055.333
95013	0.302465	0.950923	38.3991	32.9895	0.000334631	-174.2944	-4882.397	-5056.692
95014	0.302465	0.950923	39.6211	32.9895	0.000334631	-174.0379	-4881.914	-5055.952
95015	0.302465	0.950923	39.3432	30.7832	0.000363369	-173.0459	-4883.128	-5056.174
95016	0.302465	0.950923	39.3432	30.7832	0.000363369	-173.0459	-4883.128	-5056.174
95017	0.304527	0.950923	39.3432	30.7832	0.000363369	-173.0424	-4883.261	-5056.303
95018	0.301434	0.944657	39.3432	30.7832	0.000363369	-170.78	-4885.337	-5056.117
95019	0.301434	0.944657	39.3432	30.7832	0.000676046	-170.78	-4887.513	-5058.293
95020	0.301434	0.944657	38.7678	35.5014	0.000676046	-173.3808	-4884.932	-5058.313
95021	0.301434	0.944262	38.6918	32.6863	0.000676046	-171.6676	-4886.433	-5058.1
95022	0.301434	0.944262	39.4546	32.6863	0.000135538	-171.508	-4882.994	-5054.502
95023	0.301434	0.944262	39.4546	32.6863	0.000135538	-171.508	-4882.994	-5054.502
95024	0.301434	0.944262	39.4804	34.5529	0.000106103	-172.5196	-4881.946	-5054.465
95025	0.311191	0.944262	39.4804	28.3256	0.000106103	-169.6537	-4886.291	-5055.945
95026	0.311191	0.944262	39.4804	39.0716	8.83289e-05	-175.5419	-4880.578	-5056.12
95027	0.311191	0.944262	39.4804	39.0716	8.83289e-05	-175.5419	-4880.578	-5056.12
95028	0.311445	0.944262	39.4804	39.0716	8.83289e-05	-175.5415	-4880.602	-5056.143
95029	0.311445	0.944262	39.4804	39.0716	8.83289e-05	-175.5415	-4880.602	-5056.143
95030	0.311445	0.944262	40.0636	39.0716	8.83289e-05	-175.4235	-4881.395	-5056.818
95031	0.311445	0.940095	40.0636	39.0716	8.83289e-05	-173.9246	-4883.112	-5057.037
95032	0.30401	0.940095	40.0636	35.4319	9.47791e-05	-171.4255	-4884.471	-5055.896
95033	0.30401	0.940095	40.0636	35.4319	9.47791e-05	-171.4255	-4884.471	-5055.896
95034	0.30401	0.940095	37.899	30.0767	9.47791e-05	-169.1484	-4886.057	-5055.205
95035	0.30401	0.940095	37.899	31.92	2.55223e-06	-169.9594	-4884.284	-5054.244
95036	0.30401	0.902864	37.899	31.92	2.55223e-06	-156.8769	-4896.643	-5053.52
95037	0.308409	0.902864	37.899	26.0412	2.55223e-06	-154.7576	-4900.675	-5055.433
95038	0.308409	0.902864	37.899	26.0412	2.55223e-06	-154.7576	-4900.675	-5055.433
95039	0.296176	0.913666	37.899	28.6779	2.55223e-06	-159.293	-4894.97	-5054.263
95040	0.311115	0.922061	37.899	28.6779	2.55223e-06	-162.2054	-4892.449	-5054.654
95041	0.311115	0.922061	38.1977	30.5221	0.000544733	-162.8479	-4894.991	-5057.839
95042	0.311115	0.922061	38.9494	30.966	0.000544733	-162.8777	-4895.175	-5058.053
95043	0.311115	0.922061	39.1293	30.966	0.000201562	-162.84	-4893.09	-5055.93
95044	0.311115	0.941037	39.1293	30.966	0.000201562	-169.5845	-4886.135	-5055.719
95045	0.311115	0.941037	39.1225	30.966	0.000201562	-169.5859	-4886.127	-5055.713
95046	0.311115	0.926883	39.1225	30.966	0.000201562	-164.5418	-4891.136	-5055.678
95047	0.311115	0.926883	39.1225	30.966	0.000201562	-164.5418	-4891.136	-5055.678
95048	0.308053	0.921001	39.1225	30.966	0.000293768	-162.4741	-4893.923	-5056.397
95049	0.308053	0.94146	39.1225	30.6978	0.000293768	-169.6268	-4886.287	-5055.914
95050	0.308053	0.94146	39.1225	30.6978	0.000293768	-169.6268	-4886.287	-5055.914
95051	0.306345	0.94146	39.1225	30.6978	0.000293768	-169.6297	-4886.055	-5055.685
95052	0.306345	0.94146	39.1225	30.6978	0.000293768	-169.6297	-4886.055	-5055.685
95053	0.306345	0.94146	39.1225	30.6978	0.000333839	-169.6297	-4886.356	-5055.986
95054	0.29197	0.94146	39.1225	26.5411	0.000333839	-168.221	-4890.164	-5058.385
95055	0.309593	0.94146	39.3958	26.5411	2.38823e-05	-168.1344	-4887.678	-5055.813
95056	0.309593	0.943605	39.3958	34.1566	2.38823e-05	-172.0587	-4882.095	-5054.154
95057	0.309593	0.943605	38.9876	34.1566	2.38823e-05	-172.1437	-4881.999	-5054.143
95058	0.292474	0.943605	38.9876	34.1566	2.38823e-05	-172.1727	-4882.34	-5054.512
95059	0.292474	0.943605	38.9876	40.8902	2.89221e-05	-176.8926	-4879.968	-5056.861
95060	0.292474	0.943605	38.9394	40.8902	2.89221e-05	-176.9027	-4879.873	-5056.776
95061	0.292474	0.929562	38.9394	40.8902	4.99901e-05	-171.8832	-4886.083	-5057.966
95062	0.292474	0.929562	38.9394	40.8902	4.99901e-05	-171.8832	-4886.083	-5057.966
95063	0.306793	0.929562	38.9394	40.8902	5.65767e-05	-171.8589	-4884.04	-5055.899
95064	0.306793	0.929562	39.1633	35.3975	0.000129009	-167.8256	-4887.02	-5054.845
95065	0.306793	0.955434	39.1633	35.3975	0.000129009	-177.1346	-4878.145	-5055.28
95066	0.306793	0.955434	39.1633	35.3975	0.000129009	-177.1346	-4878.145	-5055.28
95067	0.306793	0.955434	38.9143	35.7235	0.000177978	-177.3897	-4878.638	-5056.028
95068	0.306793	0.955434	38.9143	33.9612	0.000175438	-176.3434	-4879.454	-5055.798
95069	0.306793	0.955434	38.9143	33.9612	0.000175438	-176.3434	-4879.454	-5055.798
95070	0.306793	0.955434	38.9143	33.9612	0.000175438	-176.3434	-4879.454	-5055.798
95071	0.313925	0.955434	39.7832	33.9612	0.000175438	-176.1519	-4880.56	-5056.712
95072	0.291151	0.955434	39.7832	33.9612	0.000175438	-176.1906	-4880.488	-5056.678
95073	0.291151	0.955434	38.276	33.2372	0.000175438	-176.1128	-4880.231	-5056.343
95074	0.291151	0.955434	38.7573	33.2372	0.000175438	-176.0094	-4879.796	-5055.805
95075	0.291151	0.955434	38.7573	34.9348	0.000111191	-176.9659	-4878.568	-5055.534
95076	0.291151	0.955434	38.8908	34.9348	0.000154679	-176.9377	-4878.876	-5055.814
95077	0.291151	0.955434	38.1261	34.9348	0.000154679	-177.102	-4879.57	-5056.672
95078	0.288436	0.941559	38.1261	34.9348	5.84873e-05	-172.0811	-4883.515	-5055.596
95079	0.288436	0.941559	37.4284	34.9348	0.000339034	-172.2361	-4886.304	-5058.541
95080	0.288436	0.928067	38.1263	34.9348	0.000339034	-167.2679	-4890.502	-5057.77
95081	0.288436	0.928067	36.7492	34.9348	0.000339034	-167.5786	-4891.303	-5058.882
95082	0.288436	0.928067	38.8107	34.9348	0.000372193	-167.1205	-4892.229	-5059.35
95083	0.293869	0.928067	37.2697	34.9348	0.000372193	-167.4496	-4889.621	-5057.07
95084	0.293869	0.928067	38.7053	31.5009	0.000192788	-165.3181	-4890.447	-5055.765
95085	0.293869	0.928067	37.2784	31.5009	7.21713e-06	-165.6321	-4888.594	-5054.226
95086	0.293869	0.894005	35.3272	30.7296	7.21713e-06	-153.9249	-4902.663	-5056.588
95087	0.293354	0.897462	35.3272	30.7296	7.21713e-06	-155.1051	-4901.851	-5056.956
95088	0.293354	0.87307	35.3272	30.7296	7.21713e-06	-146.887	-4909.037	-5055.924
95089	0.294423	0.886543	35.9624	30.7296	7.21713e-06	-151.2404	-4903.57	-5054.811
95090	0.294423	0.886543	36.4952	30.7296	7.21713e-06	-151.1138	-4903.732	-5054.846
95091	0.294423	0.886543	36.4952	30.7296	7.21713e-06	-151.1138	-4903.732	-5054.846
95092	0.294423	0.886543	36.4952	35.8369	7.21713e-06	-153.8275	-4901.304	-5055.132
95093	0.294423	0.886543	36.6529	35.2335	7.21713e-06	-153.4156	-4901.728	-5055.144
95094	0.294423	0.886543	37.1796	35.2335	0.000175045	-153.294	-4904.048	-5057.342
95095	0.316091	0.886543	37.1081	35.2335	0.000175045	-153.2736	-4902.786	-5056.059
95096	0.316091	0.886543	37.1081	35.2335	0.000173273	-153.2736	-4902.768	-5056.041
95097	0.316091	0.886543	37.1081	35.2335	0.000173273	-153.2736	-4902.768	-5056.041
95098	0.316091	0.886543	37.0188	35.2335	0.000173273	-153.2941	-4902.797	-5056.091
95099	0.316091	0.886543	37.0188	34.3204	0.000173273	-152.7544	-4903.23	-5055.984
95100	0.316091	0.886543	37.0188	38.6783	0.000173273	-155.6305	-4901.305	-5056.936
95101	0.316091	0.886543	37.0188	31.3519	0.000173273	-151.2302	-4904.832	-5056.062
95102	0.316091	0.872986	36.8308	31.3519	0.000127144	-146.7357	-4909.553	-5056.288
95103	0.316091	0.872986	36.8308	31.3519	0.000127144	-146.7357	-4909.553	-5056.288
95104	0.314443	0.872986	36.0344	29.7027	0.00013042	-146.2317	-4910.157	-5056.388
95105	0.314443	0.872986	36.0344	29.7027	7.06331e-05	-146.2317	-4909.652	-5055.884
95106	0.3018	0.91196	38.5046	29.7027	0.000272837	-158.9348	-4897.281	-5056.216
95107	0.302223	0.91196	38.5046	29.7027	0.000272837	-158.9341	-4897.266	-5056.2
95108	0.302223	0.91196	38.5046	29.7027	0.000272837	-158.9341	-4897.266	-5056.2
95109	0.302223	0.91196	37.5976	29.7027	0.000272837	-159.1331	-4896.046	-5055.179
95110	0.302223	0.91196	36.7859	29.7027	0.000272837	-159.3183	-4896.775	-5056.093
95111	0.302223	0.91196	36.7859	29.7027	0.000272837	-159.3183	-4896.775	-5056.093
95112	0.302223	0.91196	36.7859	33.7749	0.000176863	-161.2304	-4893.772	-5055.002
95113	0.306674	0.876243	36.7859	32.5679	0.000176863	-148.4274	-4907.021	-5055.448
95114	0.306674	0.917978	37.5697	32.5679	0.000176863	-162.5068	-4892.021	-5054.528
95115	0.306674	0.917978	39.1257	32.5679	0.000176863	-162.1699	-4893.634	-5055.804
95116	0.306674	0.917978	39.1257	32.5679	0.000176863	-162.1699	-4893.634	-5055.804
95117	0.306674	0.93581	38.6475	36.5008	0.000544148	-170.8621	-4886.792	-5057.654
95118	0.293341	0.93581	39.0185	36.5008	0.000544148	-170.8062	-4888.018	-5058.824
95119	0.293341	0.93581	38.0027	36.5008	0.000544148	-171.0245	-4887.186	-5058.21
95120	0.293341	0.917815	38.0027	35.2384	0.000544148	-163.8616	-4894.307	-5058.169
95121	0.293341	0.917815	38.0838	37.3774	0.000499316	-165.239	-4893.348	-5058.587
95122	0.293341	0.917815	37.1275	37.3774	0.000499316	-165.4532	-4892.865	-5058.318
95123	0.293341	0.917815	37.1275	37.5866	0.000499316	-165.5995	-4892.806	-5058.405
95124	0.30219	0.917815	39.1184	37.5866	0.000499316	-165.1489	-4893.976	-5059.125
95125	0.30219	0.917815	39.1184	31.5818	0.000499316	-161.6459	-4896.713	-5058.359
95126	0.30219	0.942506	39.1184	31.5818	0.000271513	-170.4079	-4884.782	-5055.19
95127	0.30219	0.942506	39.8652	31.5818	0.000271513	-170.2548	-4886.052	-5056.307
95128	0.30219	0.942506	39.8652	31.5818	0.00012887	-170.2548	-4885.112	-5055.367
95129	0.304877	0.942506	39.8652	31.5818	0.00012887	-170.2502	-4884.945	-5055.195
