"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
5.81801	5.81801	5.81801	5.81801	"Simu1"	0.5	"NFT"	0	"cplasma"
3.018425	3.01210275	3.0251615	3.01831354	"Simu1"	0.5	"NFT"	0.01	"cplasma"
1.936455	1.921637	1.950917	1.93630478	"Simu1"	0.5	"NFT"	0.02	"cplasma"
1.43358	1.41152275	1.455259	1.43359174	"Simu1"	0.5	"NFT"	0.03	"cplasma"
1.170815	1.14424375	1.19734025	1.17108368	"Simu1"	0.5	"NFT"	0.04	"cplasma"
1.01649	0.987630825	1.04626125	1.016969334	"Simu1"	0.5	"NFT"	0.05	"cplasma"
0.9148205	0.884488275	0.945939225	0.915328726	"Simu1"	0.5	"NFT"	0.06	"cplasma"
0.8409935	0.8098433	0.872730775	0.841622546	"Simu1"	0.5	"NFT"	0.07	"cplasma"
0.7840445	0.7525325	0.815823375	0.784507066	"Simu1"	0.5	"NFT"	0.08	"cplasma"
0.7377095	0.7065558	0.769313375	0.738213166	"Simu1"	0.5	"NFT"	0.09	"cplasma"
0.6987525	0.668459375	0.72987405	0.699454804	"Simu1"	0.5	"NFT"	0.1	"cplasma"
0.6656885	0.636061	0.6954117	0.666166122	"Simu1"	0.5	"NFT"	0.11	"cplasma"
0.6365725	0.6079092	0.66484485	0.636956386	"Simu1"	0.5	"NFT"	0.12	"cplasma"
0.6105955	0.582884325	0.637431275	0.610850232	"Simu1"	0.5	"NFT"	0.13	"cplasma"
0.5868845	0.560274375	0.6129273	0.587148208	"Simu1"	0.5	"NFT"	0.14	"cplasma"
0.5651895	0.539259875	0.5906123	0.565341684	"Simu1"	0.5	"NFT"	0.15	"cplasma"
0.5449155	0.519752525	0.569960875	0.545057392	"Simu1"	0.5	"NFT"	0.16	"cplasma"
0.525971	0.501764475	0.5505596	0.526020132	"Simu1"	0.5	"NFT"	0.17	"cplasma"
0.507921	0.484988525	0.532206525	0.508025664	"Simu1"	0.5	"NFT"	0.18	"cplasma"
0.490574	0.468896275	0.51415305	0.490921054	"Simu1"	0.5	"NFT"	0.19	"cplasma"
0.47432	0.45371555	0.49687415	0.474590906	"Simu1"	0.5	"NFT"	0.2	"cplasma"
0.458674	0.43934515	0.480313975	0.458947012	"Simu1"	0.5	"NFT"	0.21	"cplasma"
0.4436515	0.425367575	0.46446075	0.443922032	"Simu1"	0.5	"NFT"	0.22	"cplasma"
0.429058	0.4115768	0.449629025	0.42946271	"Simu1"	0.5	"NFT"	0.23	"cplasma"
0.414975	0.3979012	0.435457775	0.415526746	"Simu1"	0.5	"NFT"	0.24	"cplasma"
0.4015575	0.38485615	0.421659275	0.402080116	"Simu1"	0.5	"NFT"	0.25	"cplasma"
0.3885775	0.372434075	0.40849925	0.389094624	"Simu1"	0.5	"NFT"	0.26	"cplasma"
0.376084	0.360470575	0.395497325	0.376546476	"Simu1"	0.5	"NFT"	0.27	"cplasma"
0.3639735	0.34889005	0.382944525	0.364415038	"Simu1"	0.5	"NFT"	0.28	"cplasma"
0.3524275	0.337400125	0.37087435	0.35268247	"Simu1"	0.5	"NFT"	0.29	"cplasma"
0.340927	0.3261866	0.35906035	0.34133263	"Simu1"	0.5	"NFT"	0.3	"cplasma"
0.330064	0.315348825	0.34740785	0.330351038	"Simu1"	0.5	"NFT"	0.31	"cplasma"
0.319448	0.305066275	0.33656755	0.319724128	"Simu1"	0.5	"NFT"	0.32	"cplasma"
0.309097	0.295216125	0.32608415	0.309439408	"Simu1"	0.5	"NFT"	0.33	"cplasma"
0.299094	0.285550075	0.31590095	0.299485242	"Simu1"	0.5	"NFT"	0.34	"cplasma"
0.289256	0.276168475	0.3057813	0.289850428	"Simu1"	0.5	"NFT"	0.35	"cplasma"
0.279943	0.2670035	0.29601525	0.280524576	"Simu1"	0.5	"NFT"	0.36	"cplasma"
0.2709255	0.257944525	0.286583125	0.271497452	"Simu1"	0.5	"NFT"	0.37	"cplasma"
0.262324	0.249287125	0.277352275	0.262759484	"Simu1"	0.5	"NFT"	0.38	"cplasma"
0.254017	0.2409239	0.2685767	0.254301224	"Simu1"	0.5	"NFT"	0.39	"cplasma"
0.2459165	0.233023325	0.260205175	0.246113854	"Simu1"	0.5	"NFT"	0.4	"cplasma"
0.2379425	0.225420025	0.252235825	0.238188676	"Simu1"	0.5	"NFT"	0.41	"cplasma"
0.2302985	0.217895625	0.24458605	0.23051736	"Simu1"	0.5	"NFT"	0.42	"cplasma"
0.222893	0.2106021	0.2371487	0.223091822	"Simu1"	0.5	"NFT"	0.43	"cplasma"
0.2156335	0.203601225	0.229699925	0.215904224	"Simu1"	0.5	"NFT"	0.44	"cplasma"
0.208674	0.19680795	0.222574775	0.208947092	"Simu1"	0.5	"NFT"	0.45	"cplasma"
0.202035	0.190239875	0.21576255	0.202213008	"Simu1"	0.5	"NFT"	0.46	"cplasma"
0.1955105	0.183889475	0.20906725	0.19569493	"Simu1"	0.5	"NFT"	0.47	"cplasma"
0.1892335	0.17772605	0.202391325	0.189386058	"Simu1"	0.5	"NFT"	0.48	"cplasma"
0.1831265	0.17168365	0.196213525	0.183279594	"Simu1"	0.5	"NFT"	0.49	"cplasma"
0.1772245	0.165844625	0.19017615	0.177369218	"Simu1"	0.5	"NFT"	0.5	"cplasma"
0.1714425	0.160203875	0.1842641	0.171648646	"Simu1"	0.5	"NFT"	0.51	"cplasma"
0.1658885	0.1547544	0.178572475	0.166111832	"Simu1"	0.5	"NFT"	0.52	"cplasma"
0.1605035	0.1494848	0.173056175	0.160752978	"Simu1"	0.5	"NFT"	0.53	"cplasma"
0.1552435	0.144396825	0.16770905	0.155566352	"Simu1"	0.5	"NFT"	0.54	"cplasma"
0.1502535	0.139614875	0.16240635	0.150546498	"Simu1"	0.5	"NFT"	0.55	"cplasma"
0.145339	0.1348862	0.1572402	0.145688104	"Simu1"	0.5	"NFT"	0.56	"cplasma"
0.140621	0.130368025	0.152238575	0.140985966	"Simu1"	0.5	"NFT"	0.57	"cplasma"
0.136083	0.12599925	0.147405075	0.13643515	"Simu1"	0.5	"NFT"	0.58	"cplasma"
0.1316895	0.1217751	0.1427708	0.132030798	"Simu1"	0.5	"NFT"	0.59	"cplasma"
0.1274375	0.117614425	0.13829125	0.127768238	"Simu1"	0.5	"NFT"	0.6	"cplasma"
0.1233455	0.113586425	0.133961475	0.123642908	"Simu1"	0.5	"NFT"	0.61	"cplasma"
0.119374	0.1097665	0.1297664	0.11965044	"Simu1"	0.5	"NFT"	0.62	"cplasma"
0.115565	0.10607505	0.125718225	0.115786576	"Simu1"	0.5	"NFT"	0.63	"cplasma"
0.1118235	0.10250755	0.12179395	0.1120472148	"Simu1"	0.5	"NFT"	0.64	"cplasma"
0.108182	0.0990596675	0.117965325	0.1084283366	"Simu1"	0.5	"NFT"	0.65	"cplasma"
0.104661	0.09572746	0.11430805	0.104926118	"Simu1"	0.5	"NFT"	0.66	"cplasma"
0.1012875	0.0925071275	0.1107635	0.1015367428	"Simu1"	0.5	"NFT"	0.67	"cplasma"
0.09801625	0.0893949175	0.10732915	0.0982566364	"Simu1"	0.5	"NFT"	0.68	"cplasma"
0.09484255	0.086371065	0.104002525	0.0950823198	"Simu1"	0.5	"NFT"	0.69	"cplasma"
0.0917724	0.083419835	0.100782475	0.0920103672	"Simu1"	0.5	"NFT"	0.7	"cplasma"
0.08880435	0.080563765	0.0976625975	0.089037498	"Simu1"	0.5	"NFT"	0.71	"cplasma"
0.0859087	0.0778048025	0.09463875	0.0861605292	"Simu1"	0.5	"NFT"	0.72	"cplasma"
0.0831414	0.0751737275	0.091708285	0.083376382	"Simu1"	0.5	"NFT"	0.73	"cplasma"
0.08044505	0.07263373	0.08886836	0.0806820604	"Simu1"	0.5	"NFT"	0.74	"cplasma"
0.0778105	0.0701795325	0.08613148	0.0780746974	"Simu1"	0.5	"NFT"	0.75	"cplasma"
0.075284	0.0678081825	0.0835032625	0.0755514858	"Simu1"	0.5	"NFT"	0.76	"cplasma"
0.07285655	0.06551679	0.080955035	0.0731097194	"Simu1"	0.5	"NFT"	0.77	"cplasma"
0.0705141	0.06330275	0.0784843975	0.0707467756	"Simu1"	0.5	"NFT"	0.78	"cplasma"
0.06822215	0.0611634625	0.07608895	0.0684601232	"Simu1"	0.5	"NFT"	0.79	"cplasma"
0.0659959	0.05908773	0.0737664975	0.0662473048	"Simu1"	0.5	"NFT"	0.8	"cplasma"
0.06386725	0.0570809475	0.0715147875	0.064105934	"Simu1"	0.5	"NFT"	0.81	"cplasma"
0.06180715	0.0551421825	0.0693316675	0.062033716	"Simu1"	0.5	"NFT"	0.82	"cplasma"
0.05980095	0.0532692875	0.06721509	0.060028428	"Simu1"	0.5	"NFT"	0.83	"cplasma"
0.0578673	0.0514598625	0.06516296	0.058087909	"Simu1"	0.5	"NFT"	0.84	"cplasma"
0.0560033	0.0497118125	0.06316387	0.056210075	"Simu1"	0.5	"NFT"	0.85	"cplasma"
0.0541817	0.048023085	0.0612257375	0.0543929016	"Simu1"	0.5	"NFT"	0.86	"cplasma"
0.05241005	0.046391685	0.059329395	0.0526344388	"Simu1"	0.5	"NFT"	0.87	"cplasma"
0.05069465	0.04481566	0.05750121	0.0509327826	"Simu1"	0.5	"NFT"	0.88	"cplasma"
0.0490448	0.0432930625	0.0557293125	0.0492861178	"Simu1"	0.5	"NFT"	0.89	"cplasma"
0.0474753	0.0418221925	0.05401195	0.047692659	"Simu1"	0.5	"NFT"	0.9	"cplasma"
0.04594335	0.040401255	0.05234737	0.0461506916	"Simu1"	0.5	"NFT"	0.91	"cplasma"
0.0444405	0.0390284975	0.0507341625	0.0446585588	"Simu1"	0.5	"NFT"	0.92	"cplasma"
0.0429838	0.03770232	0.04917363	0.043214649	"Simu1"	0.5	"NFT"	0.93	"cplasma"
0.0415818	0.0364212275	0.0476616075	0.0418174132	"Simu1"	0.5	"NFT"	0.94	"cplasma"
0.0402217	0.035183615	0.0461961275	0.040465333	"Simu1"	0.5	"NFT"	0.95	"cplasma"
0.0389037	0.03398776	0.0447786875	0.039156954	"Simu1"	0.5	"NFT"	0.96	"cplasma"
0.03764825	0.0328266975	0.0434200525	0.0378908754	"Simu1"	0.5	"NFT"	0.97	"cplasma"
0.036441	0.03170422	0.04210263	0.036665721	"Simu1"	0.5	"NFT"	0.98	"cplasma"
0.0352725	0.03062	0.040824395	0.035480176	"Simu1"	0.5	"NFT"	0.99	"cplasma"
0.0341256	0.02957289	0.0395709125	0.0343329558	"Simu1"	0.5	"NFT"	1	"cplasma"
0.0330218	0.028561485	0.0383558925	0.0332228266	"Simu1"	0.5	"NFT"	1.01	"cplasma"
0.03196355	0.02758469	0.037178135	0.03214859	"Simu1"	0.5	"NFT"	1.02	"cplasma"
0.0309362	0.0266412475	0.0360364925	0.031109086	"Simu1"	0.5	"NFT"	1.03	"cplasma"
0.02993345	0.0257300675	0.0349299075	0.0301031912	"Simu1"	0.5	"NFT"	1.04	"cplasma"
0.02896305	0.02485004	0.0338572375	0.0291298206	"Simu1"	0.5	"NFT"	1.05	"cplasma"
0.02802595	0.02400007	0.0328174775	0.0281879244	"Simu1"	0.5	"NFT"	1.06	"cplasma"
0.027121	0.023179205	0.0318096275	0.027276484	"Simu1"	0.5	"NFT"	1.07	"cplasma"
0.0262423	0.022386345	0.03083274	0.0263945176	"Simu1"	0.5	"NFT"	1.08	"cplasma"
0.02539085	0.0216206425	0.02988581	0.0255410744	"Simu1"	0.5	"NFT"	1.09	"cplasma"
0.0245722	0.0208810925	0.02896789	0.0247152234	"Simu1"	0.5	"NFT"	1.1	"cplasma"
0.02377845	0.0201668475	0.0280781275	0.0239160858	"Simu1"	0.5	"NFT"	1.11	"cplasma"
0.02300535	0.0194770075	0.0272157275	0.0231427854	"Simu1"	0.5	"NFT"	1.12	"cplasma"
0.0222623	0.01881072	0.02637978	0.022394498	"Simu1"	0.5	"NFT"	1.13	"cplasma"
0.02154695	0.0181672375	0.025569495	0.0216704066	"Simu1"	0.5	"NFT"	1.14	"cplasma"
0.0208524	0.01754576	0.0247840675	0.0209697314	"Simu1"	0.5	"NFT"	1.15	"cplasma"
0.0201717	0.016945535	0.024022745	0.0202917184	"Simu1"	0.5	"NFT"	1.16	"cplasma"
0.01951345	0.0163658625	0.0232848325	0.0196356352	"Simu1"	0.5	"NFT"	1.17	"cplasma"
0.0188759	0.0158059425	0.022569525	0.019000767	"Simu1"	0.5	"NFT"	1.18	"cplasma"
0.01825825	0.0152652275	0.021876175	0.018386433	"Simu1"	0.5	"NFT"	1.19	"cplasma"
0.0176593	0.0147430125	0.02120413	0.0177919696	"Simu1"	0.5	"NFT"	1.2	"cplasma"
0.01707995	0.0142386025	0.0205527425	0.017216726	"Simu1"	0.5	"NFT"	1.21	"cplasma"
0.0165196	0.013753855	0.0199213125	0.0166600934	"Simu1"	0.5	"NFT"	1.22	"cplasma"
