"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Conditions"	"Chemicals"	"Times"	"variables"	"Dose_condition"
0	0	0	0	"Simu1"	100	"1.NormalGFR"	"NFT"	0	"cplasma"	"100_1.NormalGFR"
0.3515755	0.241034975	0.4904713	0.3548412645	"Simu1"	100	"1.NormalGFR"	"NFT"	0.1	"cplasma"	"100_1.NormalGFR"
0.5062755	0.341042725	0.7260755	0.5125652005	"Simu1"	100	"1.NormalGFR"	"NFT"	0.2	"cplasma"	"100_1.NormalGFR"
0.598137	0.401020575	0.851683849999999	0.6047374115	"Simu1"	100	"1.NormalGFR"	"NFT"	0.3	"cplasma"	"100_1.NormalGFR"
0.6724945	0.451268375	0.949408025	0.6783911575	"Simu1"	100	"1.NormalGFR"	"NFT"	0.4	"cplasma"	"100_1.NormalGFR"
0.7332095	0.49483635	1.03477825	0.7404566325	"Simu1"	100	"1.NormalGFR"	"NFT"	0.5	"cplasma"	"100_1.NormalGFR"
0.784812	0.529042675	1.1007135	0.7927935065	"Simu1"	100	"1.NormalGFR"	"NFT"	0.6	"cplasma"	"100_1.NormalGFR"
0.827803	0.560401475	1.16531675	0.8364603	"Simu1"	100	"1.NormalGFR"	"NFT"	0.7	"cplasma"	"100_1.NormalGFR"
0.8637945	0.5817746	1.2192375	0.8723169265	"Simu1"	100	"1.NormalGFR"	"NFT"	0.8	"cplasma"	"100_1.NormalGFR"
0.892509	0.6011165	1.2563035	0.9011279465	"Simu1"	100	"1.NormalGFR"	"NFT"	0.9	"cplasma"	"100_1.NormalGFR"
0.914521	0.6172357	1.2881895	0.9235870995	"Simu1"	100	"1.NormalGFR"	"NFT"	1	"cplasma"	"100_1.NormalGFR"
0.9314335	0.626024075	1.31434075	0.9403281595	"Simu1"	100	"1.NormalGFR"	"NFT"	1.1	"cplasma"	"100_1.NormalGFR"
0.94291	0.63340835	1.33163275	0.951930534	"Simu1"	100	"1.NormalGFR"	"NFT"	1.2	"cplasma"	"100_1.NormalGFR"
0.9509445	0.63555935	1.34549175	0.958924697	"Simu1"	100	"1.NormalGFR"	"NFT"	1.3	"cplasma"	"100_1.NormalGFR"
0.9528295	0.63058945	1.3526385	0.96179631	"Simu1"	100	"1.NormalGFR"	"NFT"	1.4	"cplasma"	"100_1.NormalGFR"
0.9522785	0.627005825	1.355863	0.960990338	"Simu1"	100	"1.NormalGFR"	"NFT"	1.5	"cplasma"	"100_1.NormalGFR"
0.948721	0.617538225	1.3525065	0.956914044	"Simu1"	100	"1.NormalGFR"	"NFT"	1.6	"cplasma"	"100_1.NormalGFR"
0.942781	0.609363575	1.34939425	0.949940021	"Simu1"	100	"1.NormalGFR"	"NFT"	1.7	"cplasma"	"100_1.NormalGFR"
0.933441	0.59661415	1.33982975	0.9404092365	"Simu1"	100	"1.NormalGFR"	"NFT"	1.8	"cplasma"	"100_1.NormalGFR"
