"iter"	"Vehrc.1."	"Kehr.1."	"kfeces.1."	"kbile.1."	"kgutabs.1."	"LnPrior"	"LnData"	"LnPosterior"
95001	0.693832	0.103589	0.057939	0.0273793	1.92198	8.294201	-174.9541	-166.6599
95002	0.74815	0.103589	0.057939	0.0273793	1.92198	7.636999	-171.7806	-164.1436
95003	0.74815	0.107467	0.057939	0.0273793	1.92198	7.034718	-171.6648	-164.6301
95004	0.74815	0.104538	0.057939	0.0484417	1.92198	7.444532	-172.2003	-164.7557
95005	0.74815	0.104538	0.057939	0.0484417	1.92198	7.444532	-172.2003	-164.7557
95006	0.74815	0.104538	0.057939	0.0206661	2.10614	7.505105	-171.617	-164.1118
95007	0.746634	0.104538	0.057939	0.0206661	2.10614	7.527446	-171.6143	-164.0869
95008	0.746634	0.104538	0.057939	0.0206661	2.51218	7.401916	-171.653	-164.2511
95009	0.746634	0.10584	0.0618027	0.0206661	2.51218	6.822711	-171.6049	-164.7822
95010	0.719696	0.10584	0.0334765	0.0206661	2.51218	6.512827	-172.6305	-166.1177
95011	0.719696	0.10584	0.0334765	0.0206661	2.51218	6.512827	-172.6305	-166.1177
95012	0.719696	0.0974006	0.0489896	0.0206661	0.76986	8.22813	-171.8434	-163.6152
95013	0.736257	0.102059	0.0489896	0.0347764	1.70622	8.259387	-172.0071	-163.7477
95014	0.722408	0.0959042	0.0511256	0.0347764	1.70622	8.990066	-172.2398	-163.2498
95015	0.73656	0.0959042	0.0511256	0.0347764	1.12969	8.47126	-172.1401	-163.6688
95016	0.73656	0.0906452	0.0511256	0.0110127	1.12969	8.654224	-172.7256	-164.0713
95017	0.756698	0.0906452	0.0511256	0.0110127	0.646514	7.821695	-174.4155	-166.5938
95018	0.756698	0.0926741	0.0511256	0.0110127	1.80368	8.684716	-173.8991	-165.2144
95019	0.743151	0.0926741	0.0511256	0.0110127	1.28702	8.652915	-172.7428	-164.0899
95020	0.75913	0.11184	0.0511256	0.0110127	0.720891	5.498327	-171.004	-165.5057
95021	0.771999	0.11184	0.0511256	0.0110127	3.36929	5.165852	-171.2915	-166.1256
95022	0.771999	0.111922	0.0653389	0.0110127	3.32172	4.041848	-171.2804	-167.2385
95023	0.737993	0.0974728	0.0343351	0.0110127	3.23256	6.755909	-171.8802	-165.1243
95024	0.701826	0.0906624	0.0469157	0.0189713	3.23256	8.652222	-172.3923	-163.7401
95025	0.719182	0.0906624	0.0381219	0.0189713	2.49835	8.437977	-172.2443	-163.8063
95026	0.737298	0.0906624	0.0381219	0.0189713	2.49835	8.205656	-172.9442	-164.7386
95027	0.737298	0.100381	0.0381219	0.00581688	0.88236	7.152956	-171.43	-164.2771
95028	0.760183	0.112209	0.0381219	0.00703907	0.88236	4.887895	-170.9439	-166.056
95029	0.750804	0.112209	0.0578431	0.00703907	1.84225	6.043719	-171.119	-165.0753
95030	0.750804	0.102349	0.0578431	0.00703907	3.25572	6.971455	-171.6199	-164.6485
95031	0.760794	0.102349	0.0545301	0.0484154	3.25572	6.970812	-172.7819	-165.8111
95032	0.745331	0.09863	0.0545301	0.0484154	3.54651	7.190115	-172.7897	-165.5996
