"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
0	0	0	0	"Simu1"	1.25	"NFT"	0	"cplasma"
0.003741815	0.00104747425	0.00832390849999999	0.00396547032	"Simu1"	1.25	"NFT"	0.01	"cplasma"
0.01847305	0.005219952	0.0404044174999999	0.0195095995666667	"Simu1"	1.25	"NFT"	0.02	"cplasma"
0.03850715	0.0109921675	0.0825907574999999	0.0405066215	"Simu1"	1.25	"NFT"	0.03	"cplasma"
0.0583284	0.01686681	0.1234011	0.0611724758333333	"Simu1"	1.25	"NFT"	0.04	"cplasma"
0.07576615	0.022187515	0.1578563	0.0790763152	"Simu1"	1.25	"NFT"	0.05	"cplasma"
0.08996175	0.0267929325	0.185124475	0.0937319340666667	"Simu1"	1.25	"NFT"	0.06	"cplasma"
0.100998	0.0307306675	0.20604535	0.1054339114	"Simu1"	1.25	"NFT"	0.07	"cplasma"
0.1108805	0.03410507	0.221688	0.114687122533333	"Simu1"	1.25	"NFT"	0.08	"cplasma"
0.1189345	0.03682112	0.233170575	0.121984019466667	"Simu1"	1.25	"NFT"	0.09	"cplasma"
0.1248845	0.0395215725	0.241421374999999	0.127737188433333	"Simu1"	1.25	"NFT"	0.1	"cplasma"
0.1298985	0.0418290325	0.247817874999999	0.132272364	"Simu1"	1.25	"NFT"	0.11	"cplasma"
0.1348345	0.0434898125	0.251720049999999	0.135840194666667	"Simu1"	1.25	"NFT"	0.12	"cplasma"
0.138187	0.0445631725	0.253488399999999	0.138632082866667	"Simu1"	1.25	"NFT"	0.13	"cplasma"
0.140905	0.0461850575	0.254323675	0.140793862733333	"Simu1"	1.25	"NFT"	0.14	"cplasma"
0.143256	0.04777143	0.254896875	0.142437133666667	"Simu1"	1.25	"NFT"	0.15	"cplasma"
0.1454445	0.0492426375	0.254727925	0.143648260966667	"Simu1"	1.25	"NFT"	0.16	"cplasma"
0.1467015	0.050590885	0.25395515	0.144494323233333	"Simu1"	1.25	"NFT"	0.17	"cplasma"
0.146788	0.0516488875	0.25302195	0.145028509733333	"Simu1"	1.25	"NFT"	0.18	"cplasma"
0.1471055	0.05251431	0.25164655	0.145293125966667	"Simu1"	1.25	"NFT"	0.19	"cplasma"
0.14868	0.0534287875	0.2485021	0.145322621833333	"Simu1"	1.25	"NFT"	0.2	"cplasma"
0.148757	0.05439518	0.245164525	0.145145214633333	"Simu1"	1.25	"NFT"	0.21	"cplasma"
