"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
0	0	0	0	"Simu1"	3.5	"NFT"	0	"cplasma"
0.1961775	0.163211775	0.238085625	0.198012844	"Simu1"	3.5	"NFT"	0.1	"cplasma"
0.296128	0.245433625	0.35759585	0.297877538	"Simu1"	3.5	"NFT"	0.2	"cplasma"
0.3438685	0.28759595	0.412566825	0.345974712	"Simu1"	3.5	"NFT"	0.3	"cplasma"
0.3616145	0.3041106	0.431252275	0.363623842	"Simu1"	3.5	"NFT"	0.4	"cplasma"
0.3613755	0.30598675	0.42755685	0.363104586	"Simu1"	3.5	"NFT"	0.5	"cplasma"
0.350303	0.298687425	0.4116521	0.352001162	"Simu1"	3.5	"NFT"	0.6	"cplasma"
0.3336185	0.286894675	0.3873855	0.335010774	"Simu1"	3.5	"NFT"	0.7	"cplasma"
0.3136305	0.27290425	0.36022355	0.315031998	"Simu1"	3.5	"NFT"	0.8	"cplasma"
0.2927545	0.256784525	0.331534275	0.293839466	"Simu1"	3.5	"NFT"	0.9	"cplasma"
0.2713185	0.241091575	0.30350795	0.272503372	"Simu1"	3.5	"NFT"	1	"cplasma"
0.2512945	0.225034875	0.276929975	0.251655224	"Simu1"	3.5	"NFT"	1.1	"cplasma"
0.232286	0.209455975	0.25354325	0.231654052	"Simu1"	3.5	"NFT"	1.2	"cplasma"
0.2134595	0.193464875	0.2316096	0.212692112	"Simu1"	3.5	"NFT"	1.3	"cplasma"
0.195316	0.176811875	0.2117343	0.194859374	"Simu1"	3.5	"NFT"	1.4	"cplasma"
0.1787375	0.160313925	0.195052375	0.17818519	"Simu1"	3.5	"NFT"	1.5	"cplasma"
0.162935	0.143827825	0.180957375	0.162663162	"Simu1"	3.5	"NFT"	1.6	"cplasma"
0.147843	0.12836465	0.168714175	0.148266514	"Simu1"	3.5	"NFT"	1.7	"cplasma"
0.1344795	0.114260325	0.1573428	0.1349575104	"Simu1"	3.5	"NFT"	1.8	"cplasma"
0.122267	0.1001414	0.1470938	0.1226930678	"Simu1"	3.5	"NFT"	1.9	"cplasma"
0.110565	0.087029945	0.1374747	0.111427893	"Simu1"	3.5	"NFT"	2	"cplasma"
0.100146	0.0741572775	0.129035575	0.101116021	"Simu1"	3.5	"NFT"	2.1	"cplasma"
0.0907866	0.0630412	0.12126605	0.0917116682	"Simu1"	3.5	"NFT"	2.2	"cplasma"
0.0824283	0.0533790925	0.1138698	0.0831692198	"Simu1"	3.5	"NFT"	2.3	"cplasma"
0.07477225	0.04459083	0.10692825	0.0754428482	"Simu1"	3.5	"NFT"	2.4	"cplasma"
0.0678748	0.0373129975	0.100444475	0.0684859362	"Simu1"	3.5	"NFT"	2.5	"cplasma"
0.0615447	0.0314144075	0.0944166375	0.0622498826	"Simu1"	3.5	"NFT"	2.6	"cplasma"
0.05585795	0.026152365	0.088875885	0.0566834476	"Simu1"	3.5	"NFT"	2.7	"cplasma"
0.05070405	0.0217703075	0.0836378675	0.0517321426	"Simu1"	3.5	"NFT"	2.8	"cplasma"
0.046056	0.0180096	0.07871813	0.0473386746	"Simu1"	3.5	"NFT"	2.9	"cplasma"
0.0422812	0.015195125	0.0741296925	0.04344437836	"Simu1"	3.5	"NFT"	3	"cplasma"
0.0388037	0.01291983	0.06987505	0.0399916197	"Simu1"	3.5	"NFT"	3.1	"cplasma"
0.0356497	0.011088525	0.0659655225	0.03692562168	"Simu1"	3.5	"NFT"	3.2	"cplasma"
0.03306365	0.00959819875	0.0623884825	0.03419660382	"Simu1"	3.5	"NFT"	3.3	"cplasma"
0.0306522	0.00872277775	0.05892427	0.03176024468	"Simu1"	3.5	"NFT"	3.4	"cplasma"
0.0284314	0.0079410025	0.05577236	0.02957798934	"Simu1"	3.5	"NFT"	3.5	"cplasma"
0.02631965	0.00709493175	0.052761535	0.02761670498	"Simu1"	3.5	"NFT"	3.6	"cplasma"
0.02446085	0.00650860625	0.04994264	0.02584818502	"Simu1"	3.5	"NFT"	3.7	"cplasma"
0.02305235	0.00601366425	0.0473021325	0.02424823094	"Simu1"	3.5	"NFT"	3.8	"cplasma"
0.0216255	0.0055504935	0.0448646475	0.02279653318	"Simu1"	3.5	"NFT"	3.9	"cplasma"
