"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Chemicals"	"Times"	"variables"
20.2703	20.2703	20.2703	20.2703	"Simu1"	1.5	"NFT"	0	"cplasma"
2.46007	2.3502935	2.57030775	2.4594408	"Simu1"	1.5	"NFT"	0.1	"cplasma"
1.65597	1.566961	1.73712825	1.65461682	"Simu1"	1.5	"NFT"	0.2	"cplasma"
1.055635	0.983353325	1.13342	1.05694626	"Simu1"	1.5	"NFT"	0.3	"cplasma"
0.657451	0.603250825	0.719212825	0.65926067	"Simu1"	1.5	"NFT"	0.4	"cplasma"
0.4061325	0.3618995	0.453521775	0.407702512	"Simu1"	1.5	"NFT"	0.5	"cplasma"
0.2507295	0.216414525	0.28593795	0.251107868	"Simu1"	1.5	"NFT"	0.6	"cplasma"
0.1538755	0.12877915	0.180517475	0.154332462	"Simu1"	1.5	"NFT"	0.7	"cplasma"
0.0942958	0.0767978325	0.11412425	0.0947477054	"Simu1"	1.5	"NFT"	0.8	"cplasma"
0.05793355	0.04575849	0.071792905	0.0581345524	"Simu1"	1.5	"NFT"	0.9	"cplasma"
0.0355636	0.027147685	0.045070985	0.0356602678	"Simu1"	1.5	"NFT"	1	"cplasma"
0.0218771	0.0160962425	0.0283306175	0.0218733288	"Simu1"	1.5	"NFT"	1.1	"cplasma"
0.01339515	0.00954003875	0.017825875	0.013417603	"Simu1"	1.5	"NFT"	1.2	"cplasma"
0.008205875	0.005656694	0.011225435	0.00823186318	"Simu1"	1.5	"NFT"	1.3	"cplasma"
0.005016045	0.00335712575	0.007068173	0.00505119808	"Simu1"	1.5	"NFT"	1.4	"cplasma"
0.003072835	0.00199098825	0.00445296825	0.0031001647	"Simu1"	1.5	"NFT"	1.5	"cplasma"
0.00188201	0.00118098325	0.00280347475	0.001903172954	"Simu1"	1.5	"NFT"	1.6	"cplasma"
0.001154655	0.00070072035	0.00176518075	0.001168591832	"Simu1"	1.5	"NFT"	1.7	"cplasma"
0.0007080705	0.00041598955	0.00110942425	0.000717702374	"Simu1"	1.5	"NFT"	1.8	"cplasma"
0.0004340965	0.000246953125	0.000698702725	0.00044089228	"Simu1"	1.5	"NFT"	1.9	"cplasma"
0.000265993	0.000146753575	0.0004402945	0.000270918064	"Simu1"	1.5	"NFT"	2	"cplasma"
0.0001626435	8.71111425e-05	0.000277419475	0.000166503523	"Simu1"	1.5	"NFT"	2.1	"cplasma"
9.9512e-05	5.15973975e-05	0.0001748481	0.0001023612634	"Simu1"	1.5	"NFT"	2.2	"cplasma"
6.09829e-05	3.054807e-05	0.0001101917	6.294279e-05	"Simu1"	1.5	"NFT"	2.3	"cplasma"
3.739885e-05	1.808856e-05	6.94483625e-05	3.87136526e-05	"Simu1"	1.5	"NFT"	2.4	"cplasma"
2.295035e-05	1.07179525e-05	4.37785925e-05	2.381802398e-05	"Simu1"	1.5	"NFT"	2.5	"cplasma"
1.405315e-05	6.3533175e-06	2.7560565e-05	1.465602376e-05	"Simu1"	1.5	"NFT"	2.6	"cplasma"
8.625805e-06	3.77246e-06	1.730553e-05	9.02024142e-06	"Simu1"	1.5	"NFT"	2.7	"cplasma"
5.2883e-06	2.2356475e-06	1.087546e-05	5.5525253e-06	"Simu1"	1.5	"NFT"	2.8	"cplasma"
3.23372e-06	1.326322e-06	6.83319025e-06	3.418507978e-06	"Simu1"	1.5	"NFT"	2.9	"cplasma"
1.97773e-06	7.86957025e-07	4.2920685e-06	2.104708104e-06	"Simu1"	1.5	"NFT"	3	"cplasma"
1.21145e-06	4.66553775e-07	2.69638775e-06	1.295936262e-06	"Simu1"	1.5	"NFT"	3.1	"cplasma"
7.43463e-07	2.77062275e-07	1.6943335e-06	7.98501574e-07	"Simu1"	1.5	"NFT"	3.2	"cplasma"
4.54231e-07	1.6306665e-07	1.06599325e-06	4.90920314e-07	"Simu1"	1.5	"NFT"	3.3	"cplasma"
2.797385e-07	9.7281385e-08	6.71302675e-07	3.028753392e-07	"Simu1"	1.5	"NFT"	3.4	"cplasma"
1.70276e-07	5.7657125e-08	4.23029675e-07	1.865586082e-07	"Simu1"	1.5	"NFT"	3.5	"cplasma"
1.049045e-07	3.4152405e-08	2.6520145e-07	1.150348114e-07	"Simu1"	1.5	"NFT"	3.6	"cplasma"
6.413945e-08	2.0261985e-08	1.66873325e-07	7.10159528e-08	"Simu1"	1.5	"NFT"	3.7	"cplasma"
3.94732e-08	1.1998955e-08	1.04899375e-07	4.388053862e-08	"Simu1"	1.5	"NFT"	3.8	"cplasma"
2.42576e-08	7.09144175e-09	6.55056025e-08	2.716074706e-08	"Simu1"	1.5	"NFT"	3.9	"cplasma"
1.49318e-08	4.20439375e-09	4.1575645e-08	1.684956752e-08	"Simu1"	1.5	"NFT"	4	"cplasma"
27.027	27.027	27.027	27.027	"Simu1"	2	"NFT"	0	"cplasma"
3.488475	3.33883675	3.6458435	3.48796486	"Simu1"	2	"NFT"	0.1	"cplasma"
2.499655	2.384302	2.6070025	2.4986605	"Simu1"	2	"NFT"	0.2	"cplasma"
1.69207	1.5843695	1.803222	1.6921921	"Simu1"	2	"NFT"	0.3	"cplasma"
1.081795	0.98794425	1.1858785	1.083669116	"Simu1"	2	"NFT"	0.4	"cplasma"
0.6738755	0.603089275	0.7552291	0.676600794	"Simu1"	2	"NFT"	0.5	"cplasma"
0.4171255	0.36178445	0.478477875	0.41865471	"Simu1"	2	"NFT"	0.6	"cplasma"
0.256954	0.217210175	0.300999	0.257950268	"Simu1"	2	"NFT"	0.7	"cplasma"
0.158071	0.12868735	0.190442925	0.158583928	"Simu1"	2	"NFT"	0.8	"cplasma"
0.09699275	0.0767488575	0.120281125	0.0973823708	"Simu1"	2	"NFT"	0.9	"cplasma"
0.0595579	0.0457420825	0.075768225	0.0597645364	"Simu1"	2	"NFT"	1	"cplasma"
0.0365422	0.0271604425	0.0476390475	0.0366680594	"Simu1"	2	"NFT"	1.1	"cplasma"
0.02241725	0.016097065	0.0300046825	0.0224958294	"Simu1"	2	"NFT"	1.2	"cplasma"
0.0137444	0.00952616875	0.0189252725	0.01380184966	"Simu1"	2	"NFT"	1.3	"cplasma"
0.008421025	0.0056457055	0.011922865	0.0084691311	"Simu1"	2	"NFT"	1.4	"cplasma"
0.00516257	0.00335025125	0.00751048475	0.00519788304	"Simu1"	2	"NFT"	1.5	"cplasma"
0.003167195	0.00198955325	0.0047247675	0.00319080898	"Simu1"	2	"NFT"	1.6	"cplasma"
0.001933755	0.001181056	0.0029703665	0.001959136486	"Simu1"	2	"NFT"	1.7	"cplasma"
0.00118374	0.000701793325	0.0018678805	0.00120317193	"Simu1"	2	"NFT"	1.8	"cplasma"
0.000725118	0.000416998	0.0011744265	0.00073908746	"Simu1"	2	"NFT"	1.9	"cplasma"
0.0004453265	0.000247613625	0.0007382965	0.000454097646	"Simu1"	2	"NFT"	2	"cplasma"
0.000272792	0.000146844875	0.000464106625	0.000279055106	"Simu1"	2	"NFT"	2.1	"cplasma"
0.000167128	8.70714425e-05	0.000291790275	0.000171537296	"Simu1"	2	"NFT"	2.2	"cplasma"
0.000102371	5.16452575e-05	0.000183462125	0.0001054630862	"Simu1"	2	"NFT"	2.3	"cplasma"
6.272535e-05	3.06400675e-05	0.00011533165	6.48610454e-05	"Simu1"	2	"NFT"	2.4	"cplasma"
3.836715e-05	1.81771675e-05	7.263086e-05	3.98985398e-05	"Simu1"	2	"NFT"	2.5	"cplasma"
2.346945e-05	1.07918475e-05	4.5776995e-05	2.455086286e-05	"Simu1"	2	"NFT"	2.6	"cplasma"
1.438545e-05	6.41359325e-06	2.88733525e-05	1.511019106e-05	"Simu1"	2	"NFT"	2.7	"cplasma"
8.82406e-06	3.81052225e-06	1.8213995e-05	9.30263174e-06	"Simu1"	2	"NFT"	2.8	"cplasma"
5.407355e-06	2.26074225e-06	1.14765675e-05	5.7280216e-06	"Simu1"	2	"NFT"	2.9	"cplasma"
3.314135e-06	1.34051075e-06	7.20876975e-06	3.526764276e-06	"Simu1"	2	"NFT"	3	"cplasma"
2.02703e-06	7.9432635e-07	4.52960575e-06	2.17188337e-06	"Simu1"	2	"NFT"	3.1	"cplasma"
1.238995e-06	4.7066445e-07	2.84591725e-06	1.337484886e-06	"Simu1"	2	"NFT"	3.2	"cplasma"
7.570855e-07	2.78804525e-07	1.7881575e-06	8.2390177e-07	"Simu1"	2	"NFT"	3.3	"cplasma"
4.6426e-07	1.653116e-07	1.1239255e-06	5.0743786e-07	"Simu1"	2	"NFT"	3.4	"cplasma"
2.84205e-07	9.776941e-08	7.07017375e-07	3.125097626e-07	"Simu1"	2	"NFT"	3.5	"cplasma"
1.74549e-07	5.78361875e-08	4.45221375e-07	1.925583904e-07	"Simu1"	2	"NFT"	3.6	"cplasma"
1.067335e-07	3.43805575e-08	2.802558e-07	1.187604648e-07	"Simu1"	2	"NFT"	3.7	"cplasma"
6.606235e-08	2.03688625e-08	1.75536925e-07	7.334841e-08	"Simu1"	2	"NFT"	3.8	"cplasma"
4.059385e-08	1.208736e-08	1.10971875e-07	4.536265992e-08	"Simu1"	2	"NFT"	3.9	"cplasma"
2.51601e-08	7.1589215e-09	7.0344655e-08	2.809769746e-08	"Simu1"	2	"NFT"	4	"cplasma"
40.5405	40.5405	40.5405	40.5405	"Simu1"	3	"NFT"	0	"cplasma"
5.605325	5.37214075	5.8515915	5.60191124	"Simu1"	3	"NFT"	0.1	"cplasma"
4.30592	4.136274	4.4693235	4.30429376	"Simu1"	3	"NFT"	0.2	"cplasma"
3.203455	3.05169775	3.3508345	3.20064736	"Simu1"	3	"NFT"	0.3	"cplasma"
2.264125	2.110233	2.4262665	2.26716028	"Simu1"	3	"NFT"	0.4	"cplasma"
1.50727	1.35080825	1.67373425	1.51057108	"Simu1"	3	"NFT"	0.5	"cplasma"
0.953923	0.833705925	1.09695	0.958682166	"Simu1"	3	"NFT"	0.6	"cplasma"
0.595163	0.504894275	0.698842375	0.596933312	"Simu1"	3	"NFT"	0.7	"cplasma"
0.368856	0.302588475	0.443880625	0.368981416	"Simu1"	3	"NFT"	0.8	"cplasma"
0.227178	0.180566325	0.28038035	0.227263452	"Simu1"	3	"NFT"	0.9	"cplasma"
0.1392155	0.106925025	0.17715495	0.139713399	"Simu1"	3	"NFT"	1	"cplasma"
0.085538	0.06343787	0.1113456	0.0858061022	"Simu1"	3	"NFT"	1.1	"cplasma"
0.05254725	0.037674405	0.069881755	0.0526725674	"Simu1"	3	"NFT"	1.2	"cplasma"
0.03221505	0.02240445	0.0438660775	0.0323266208	"Simu1"	3	"NFT"	1.3	"cplasma"
0.019719	0.0132847875	0.02761094	0.0198391336	"Simu1"	3	"NFT"	1.4	"cplasma"
0.0120654	0.0078823035	0.0173882875	0.0121763089	"Simu1"	3	"NFT"	1.5	"cplasma"
0.007410555	0.004678837	0.0109484575	0.00747434642	"Simu1"	3	"NFT"	1.6	"cplasma"
0.004542305	0.0027774965	0.00689495575	0.00458896232	"Simu1"	3	"NFT"	1.7	"cplasma"
0.00277944	0.00164775025	0.00434190375	0.0028180262	"Simu1"	3	"NFT"	1.8	"cplasma"
0.0017049	0.000977438625	0.00273334175	0.001730881462	"Simu1"	3	"NFT"	1.9	"cplasma"
0.001043425	0.000580055975	0.0017197645	0.001063362652	"Simu1"	3	"NFT"	2	"cplasma"
0.0006382405	0.000344174025	0.00108232175	0.000653458566	"Simu1"	3	"NFT"	2.1	"cplasma"
0.0003905225	0.0002041944	0.000681879975	0.000401649024	"Simu1"	3	"NFT"	2.2	"cplasma"
0.0002389775	0.000121116825	0.000430042175	0.0002469465936	"Simu1"	3	"NFT"	2.3	"cplasma"
0.000146513	7.18367e-05	0.000271143525	0.0001518609898	"Simu1"	3	"NFT"	2.4	"cplasma"
8.99017e-05	4.259952e-05	0.000170901025	9.34102504e-05	"Simu1"	3	"NFT"	2.5	"cplasma"
5.517045e-05	2.52592325e-05	0.000107669325	5.74654256e-05	"Simu1"	3	"NFT"	2.6	"cplasma"
3.37798e-05	1.4984525e-05	6.78692225e-05	3.536149426e-05	"Simu1"	3	"NFT"	2.7	"cplasma"
2.06508e-05	8.89653925e-06	4.274924e-05	2.176546536e-05	"Simu1"	3	"NFT"	2.8	"cplasma"
1.265695e-05	5.27157875e-06	2.690192e-05	1.339961246e-05	"Simu1"	3	"NFT"	2.9	"cplasma"
7.74307e-06	3.12587275e-06	1.6930265e-05	8.25064814e-06	"Simu1"	3	"NFT"	3	"cplasma"
4.7413e-06	1.85473625e-06	1.06535425e-05	5.08187972e-06	"Simu1"	3	"NFT"	3.1	"cplasma"
2.90552e-06	1.10124775e-06	6.70603725e-06	3.130269164e-06	"Simu1"	3	"NFT"	3.2	"cplasma"
1.77789e-06	6.524016e-07	4.2370185e-06	1.928469212e-06	"Simu1"	3	"NFT"	3.3	"cplasma"
1.089695e-06	3.86758225e-07	2.673168e-06	1.188122832e-06	"Simu1"	3	"NFT"	3.4	"cplasma"
6.6608e-07	2.291609e-07	1.6835835e-06	7.3201575e-07	"Simu1"	3	"NFT"	3.5	"cplasma"
4.072465e-07	1.360703e-07	1.05784875e-06	4.51107054e-07	"Simu1"	3	"NFT"	3.6	"cplasma"
2.49847e-07	8.07096475e-08	6.64894675e-07	2.780155372e-07	"Simu1"	3	"NFT"	3.7	"cplasma"
